<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
BZ;D;100804;000000;81.05;82.8;80.64;82.7;80406
BZ;D;100805;000000;82.52;82.86;81.6;82.1;69522
BZ;D;100806;000000;82.2;82.28;81.05;81.73;59574
BZ;D;100807;000000;81.61;82.17;79.56;80.36;76865
BZ;D;100810;000000;80.35;81.38;80.26;81.14;51166
BZ;D;100811;000000;81;81.13;78.96;79.97;38728
BZ;D;100812;000000;79.99;80.1;77.66;77.67;35316
BZ;D;100813;000000;77.67;78;75.64;75.88;57468
BZ;D;100814;000000;75.85;76.79;75.08;75.74;56982
BZ;D;100815;000000;75.73;75.8;75.2;75.2;109
BZ;D;100817;000000;75.72;76.15;75;75.52;62593
BZ;D;100818;000000;75.55;77.69;75.31;76.89;74019
BZ;D;100819;000000;76.85;76.96;75.3;76.3;76069
BZ;D;100820;000000;76.28;77.17;75;75.38;79444
BZ;D;100821;000000;75.35;75.77;74;74.43;67942
BZ;D;100822;000000;74.42;74.52;74.3;74.33;74
BZ;D;100824;000000;74.48;74.9;73.25;73.47;73186
BZ;D;100825;000000;73.47;73.66;72.12;72.18;89699
BZ;D;100826;000000;72.28;73.75;71.75;73.72;98314
BZ;D;100827;000000;73.74;75.55;73.38;74.88;98095
BZ;D;100828;000000;74.87;76.88;74.39;76.87;102215
BZ;D;100829;000000;76.87;76.93;76.84;76.93;254
BZ;D;100831;000000;76.66;77.05;75.91;76.2;41588
BZ;D;100901;000000;76.18;76.8;74.24;74.42;94922
BZ;D;100902;000000;74.49;76.76;74.37;76.37;81357
BZ;D;100903;000000;76.38;77.14;75.21;76.89;81022
BZ;D;100904;000000;76.86;77.46;75.33;76.57;86573
BZ;D;100905;000000;76.48;76.62;76.45;76.62;25
BZ;D;100907;000000;76.56;77.18;76.18;76.87;30166
BZ;D;100908;000000;76.99;78.32;75.56;77.26;99142
BZ;D;100909;000000;77.26;78.85;76.78;77.93;71899
BZ;D;100910;000000;77.97;78.82;77.09;77.21;60797
BZ;D;100911;000000;77.21;78.5;77;78.41;36538
BZ;D;100912;000000;78.39;78.39;78.35;78.36;55
BZ;D;100914;000000;78.4;79.48;78.23;79.19;51387
BZ;D;100915;000000;79.14;79.91;78.47;79.1;68644
BZ;D;100916;000000;79.1;79.54;78.5;79.2;84873
BZ;D;100917;000000;79.13;79.64;77.87;78.47;75252
BZ;D;100918;000000;78.46;79.47;77.25;77.97;83462
BZ;D;100921;000000;78.16;79.92;77.63;79.36;80726
BZ;D;100922;000000;79.25;80;78;78.1;75913
BZ;D;100923;000000;78.2;78.84;77.5;77.98;86539
BZ;D;100924;000000;77.93;78.48;76.75;77.93;95504
BZ;D;100925;000000;78;79.4;77.69;78.8;80379
BZ;D;100928;000000;79.01;79.2;77.6;78.14;78127
BZ;D;100929;000000;78.33;79.53;77.74;78.85;89624
BZ;D;100930;000000;78.88;80.93;78.34;80.67;102712
BZ;D;101001;000000;80.79;82.4;80.41;82.11;95499
BZ;D;101002;000000;82.21;83.81;82.21;83.81;76945
BZ;D;101005;000000;83.7;84.41;82.9;83.3;73072
BZ;D;101006;000000;83.19;84.93;82.93;84.65;72597
BZ;D;101007;000000;84.78;85.88;84.26;85.3;76631
BZ;D;101008;000000;85.3;86.02;82.93;83.11;90305
BZ;D;101009;000000;83.03;84.59;81.86;84.19;85995
BZ;D;101012;000000;84.33;84.68;83.3;83.46;36611
BZ;D;101013;000000;83.41;84;82.48;83.39;51496
BZ;D;101014;000000;83.46;84.98;83.46;84.84;29918
BZ;D;101015;000000;84.75;85.75;83.72;84.02;81968
BZ;D;101016;000000;84.02;84.5;81.95;82.76;98695
BZ;D;101019;000000;82.52;84.5;81.53;84.34;95588
BZ;D;101020;000000;84.36;84.45;80.76;80.89;130320
BZ;D;101021;000000;80.92;83.7;80.75;83.65;112014
BZ;D;101022;000000;83.69;83.88;81.45;82.04;117536
BZ;D;101023;000000;82.05;83.25;81.83;82.9;82613
BZ;D;101026;000000;82.97;84.2;82.7;83.38;114110
BZ;D;101027;000000;83.3;83.89;82.96;83.5;80443
BZ;D;101028;000000;83.59;83.67;81.85;83.34;107727
BZ;D;101029;000000;83.35;83.85;82.97;83.55;80456
BZ;D;101030;000000;83.47;83.59;82.21;83.14;100477
BZ;D;101102;000000;83.2;85.54;83.14;84.59;98396
BZ;D;101103;000000;84.62;85.89;84.53;85.65;71606
BZ;D;101104;000000;85.88;86.89;85.24;86.57;90877
BZ;D;101105;000000;86.75;88.29;86.63;88.13;77816
BZ;D;101106;000000;88.28;88.8;87.31;88.47;62276
BZ;D;101109;000000;88.61;88.72;87.3;88.22;62895
BZ;D;101110;000000;88.04;89.02;87.17;87.97;73995
BZ;D;101111;000000;88.05;89.32;87.73;89;87384
BZ;D;101112;000000;89.16;89.7;88.62;88.72;55216
BZ;D;101113;000000;88.69;88.74;86.06;86.21;104252
BZ;D;101116;000000;86.6;87.49;86.36;86.54;76227
BZ;D;101117;000000;86.5;86.71;84.5;84.75;111268
BZ;D;101118;000000;84.7;85.06;82.96;83.16;109417
BZ;D;101119;000000;83.5;85.5;83.5;85.35;92384
BZ;D;101120;000000;85.2;86.15;83.87;84.13;107067
BZ;D;101123;000000;84.71;85.45;83.11;83.73;85031
BZ;D;101124;000000;83.75;84;82.43;83;98107
BZ;D;101125;000000;83.3;86.25;83.3;86.21;105185
BZ;D;101126;000000;85.83;86.5;85.4;85.91;34854
BZ;D;101127;000000;85.89;85.95;84.75;85.8;65943
BZ;D;101130;000000;85.95;87.55;85.5;87.45;97745
BZ;D;101201;000000;87.55;87.55;85.43;85.45;91091
