<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
Eu;D;150804;000000;68831;70678;68831;70575;60102
Eu;D;150805;000000;70510;70510;69402;69540;68224
Eu;D;150806;000000;69500;70369;68819;70155;80131
Eu;D;150807;000000;70155;71440;69980;70806;67000
Eu;D;150808;000000;70665;71323;70380;71068;68748
Eu;D;150811;000000;71092;71983;69839;69991;84904
Eu;D;150812;000000;70190;72140;70036;71759;91259
Eu;D;150813;000000;71841;73290;71841;72539;96042
Eu;D;150814;000000;72216;73109;71597;72919;86633
Eu;D;150815;000000;73051;73263;72320;72974;77153
Eu;D;150818;000000;72999;73700;72780;73249;67270
Eu;D;150819;000000;73300;73757;72994;73362;64535
Eu;D;150820;000000;73373;74830;72876;74760;94414
Eu;D;150821;000000;74827;77160;74827;77016;101794
Eu;D;150822;000000;77383;79356;77005;79286;133949
Eu;D;150825;000000;79400;84294;79400;82930;243554
Eu;D;150826;000000;82563;82688;78650;80062;191859
Eu;D;150827;000000;80030;80960;78332;78498;177432
Eu;D;150828;000000;78330;78330;74344;74620;212821
Eu;D;150829;000000;74533;76569;72879;73529;176755
Eu;D;150901;000000;73606;76120;71855;72416;172008
Eu;D;150902;000000;72458;75981;72458;75981;135689
Eu;D;150903;000000;75988;76824;74807;75530;147099
Eu;D;150904;000000;75530;75939;73747;75047;116588
Eu;D;150905;000000;75007;76600;74629;76600;121423
Eu;D;150908;000000;76700;77590;76060;77364;65068
Eu;D;150909;000000;77220;77387;75855;76300;110759
Eu;D;150910;000000;76250;76916;75137;76889;99388
Eu;D;150911;000000;79300;79599;78353;78648;3039
Eu;D;150912;000000;78859;79500;78498;79281;5589
Eu;D;150915;000000;79400;79690;78136;78710;17147
Eu;D;150916;000000;78720;78850;77333;77404;67033
Eu;D;150917;000000;77333;77400;75500;75881;84928
Eu;D;150918;000000;75750;77159;75605;76920;88635
Eu;D;150919;000000;77000;77898;76769;77241;79338
Eu;D;150922;000000;77020;78430;75886;75890;61942
Eu;D;150923;000000;75926;76549;75430;75499;65185
Eu;D;150924;000000;75519;76505;75012;76339;103446
Eu;D;150925;000000;76280;77212;76042;76198;85749
Eu;D;150926;000000;76111;76111;74591;75338;77415
Eu;D;150929;000000;75200;76270;74826;76165;69362
Eu;D;150930;000000;76276;76730;75225;75802;75490
Eu;D;151001;000000;75685;75718;74750;74960;69999
Eu;D;151002;000000;74817;75523;73932;75259;80409
Eu;D;151003;000000;75201;77170;75020;75766;91028
Eu;D;151006;000000;75715;75715;73901;74100;80616
Eu;D;151007;000000;74110;74850;72920;72921;98577
Eu;D;151008;000000;72900;72900;70849;71980;102796
Eu;D;151009;000000;71752;72330;70533;70634;69881
Eu;D;151010;000000;70511;71790;70241;71713;87888
Eu;D;151013;000000;71333;72529;70690;72167;74507
Eu;D;151014;000000;72100;73438;71957;73256;104921
Eu;D;151015;000000;73213;73710;72881;73360;63650
Eu;D;151016;000000;73176;73176;71089;71135;91034
Eu;D;151017;000000;71149;71775;70646;70840;89569
Eu;D;151020;000000;70860;71992;70720;71781;69331
Eu;D;151021;000000;71781;72124;71165;71644;84419
Eu;D;151022;000000;71689;72943;71689;72700;87336
Eu;D;151023;000000;72594;72594;70572;70700;116338
Eu;D;151024;000000;70655;70655;69344;69750;93594
Eu;D;151027;000000;69700;70800;69520;70770;80424
Eu;D;151028;000000;70849;73014;70849;72749;77605
Eu;D;151029;000000;72819;73488;70720;70790;127512
Eu;D;151030;000000;70850;71890;70774;71724;100561
Eu;D;151031;000000;71751;72077;70773;71320;92604
Eu;D;151103;000000;71250;71975;70944;71050;81304
Eu;D;151104;000000;71088;71526;69101;69505;101813
Eu;D;151106;000000;69569;70030;69339;69850;87301
Eu;D;151107;000000;69812;70400;69395;70145;161776
Eu;D;151110;000000;70250;70700;69916;70226;75083
Eu;D;151111;000000;70226;70230;69145;69920;91210
Eu;D;151112;000000;70010;71150;69767;71048;101649
Eu;D;151113;000000;71050;72850;70700;72850;94839
Eu;D;151114;000000;72670;72734;72009;72400;128149
Eu;D;151117;000000;72462;72462;70280;70367;120231
Eu;D;151118;000000;70342;70830;69324;69913;109284
Eu;D;151119;000000;69912;70332;69390;69520;116902
Eu;D;151120;000000;69655;70177;69530;69950;118377
Eu;D;151121;000000;69869;70088;69012;69430;119872
Eu;D;151124;000000;69500;70921;69500;70490;184691
Eu;D;151125;000000;70490;71291;69892;70142;134102
Eu;D;151126;000000;70233;70530;69847;69991;80313
Eu;D;151127;000000;69995;70491;69870;70292;69812
Eu;D;151128;000000;70294;70890;70048;70800;83848
Eu;D;151201;000000;70888;71270;69910;70608;93426
Eu;D;151202;000000;70633;71268;70238;71154;79334
Eu;D;151203;000000;71132;71984;70741;71944;111455
Eu;D;151204;000000;71766;74700;71601;74141;212352
Eu;D;151205;000000;74125;74938;73323;74289;165640
Eu;D;151208;000000;74329;75641;74183;75532;101500
Eu;D;151209;000000;75543;76350;75010;75801;131072
Eu;D;151210;000000;75902;78798;75300;76600;149105
Eu;D;151211;000000;78400;78400;77110;77750;5070
Eu;D;151212;000000;77820;79715;77750;79560;12316
Eu;D;151215;000000;79511;80749;78976;79800;34299
Eu;D;151216;000000;79977;80860;78164;78587;104278
Eu;D;151217;000000;78700;79634;78477;78964;95946
Eu;D;151218;000000;78964;79331;78373;79160;89082
Eu;D;151219;000000;79177;79720;78532;79250;114247
Eu;D;151222;000000;79309;80120;79201;79935;69144
Eu;D;151223;000000;79902;80386;79573;80103;62378
Eu;D;151224;000000;80101;80101;77660;78101;99199
Eu;D;151225;000000;78115;79491;77570;78805;103668
Eu;D;151226;000000;78970;79631;78564;79250;57542
Eu;D;151229;000000;79215;81457;78920;81189;89779
Eu;D;151230;000000;81129;81960;80347;80899;75409
Eu;D;151231;000000;80900;82099;80897;82099;68635
Eu;D;160105;000000;82020;82091;80090;80879;71823
Eu;D;160106;000000;80786;80994;80160;80423;37793
Eu;D;160107;000000;80399;82337;80342;82210;68274
Eu;D;160112;000000;82377;85139;82377;84332;88691
Eu;D;160113;000000;84453;85547;83888;85228;105015
Eu;D;160114;000000;85200;85200;83432;84993;87895
Eu;D;160115;000000;85130;85354;84103;84120;93337
Eu;D;160116;000000;84238;87082;84238;86150;127371
Eu;D;160119;000000;86212;88090;86212;87888;98347
Eu;D;160120;000000;87770;87770;86234;87170;141295
Eu;D;160121;000000;87286;91626;87286;90029;173020
Eu;D;160122;000000;90245;94346;90143;91373;215862
Eu;D;160123;000000;91300;91300;85447;85451;159634
Eu;D;160126;000000;85439;88270;83931;88153;160574
Eu;D;160127;000000;88300;90665;85438;86350;164023
Eu;D;160128;000000;86550;87679;84740;85880;95253
Eu;D;160129;000000;85921;86050;83500;84717;141113
Eu;D;160130;000000;84717;84717;82360;82892;158318
Eu;D;160202;000000;82950;85500;82950;85400;118233
Eu;D;160203;000000;85463;88266;84770;88240;135878
Eu;D;160204;000000;88080;88876;85966;86376;177981
Eu;D;160205;000000;86322;87385;84993;87260;164909
Eu;D;160206;000000;87065;87928;86429;87399;128833
Eu;D;160209;000000;87352;89521;86085;88850;128047
Eu;D;160210;000000;88970;91339;88200;90930;163058
Eu;D;160211;000000;90800;90800;87588;89800;144938
Eu;D;160212;000000;89800;92408;89729;90981;191850
Eu;D;160213;000000;90800;90989;88522;88933;138111
Eu;D;160216;000000;88800;88800;86558;86558;99679
Eu;D;160217;000000;86502;87877;85453;87560;132126
Eu;D;160218;000000;87600;88200;83871;84210;138164
Eu;D;160219;000000;84240;85740;83899;85650;125819
Eu;D;160220;000000;85630;87200;84986;86226;105305
Eu;D;160221;000000;86247;86805;85808;86515;42942
Eu;D;160223;000000;86407;86407;83101;83635;71911
Eu;D;160225;000000;83950;86026;83824;83900;119064
Eu;D;160226;000000;84043;85013;83477;83679;100812
Eu;D;160227;000000;83800;83980;82050;83850;148640
Eu;D;160301;000000;83600;83880;81739;82170;111506
Eu;D;160302;000000;82154;82154;79674;80099;162117
Eu;D;160303;000000;80033;81019;79494;79742;111344
Eu;D;160304;000000;79620;81098;79620;80587;103715
Eu;D;160305;000000;80517;80718;79159;79419;116930
