<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZR;D;200804;000000;18375;18522;18273;18494;98807
GAZR;D;200805;000000;18496;18584;18324;18440;112093
GAZR;D;200806;000000;18438;19127;18437;19010;220298
GAZR;D;200807;000000;19025;19103;18818;19019;173683
GAZR;D;200808;000000;19011;19026;18678;18816;111224
GAZR;D;200811;000000;18839;18988;18799;18886;86841
GAZR;D;200812;000000;18889;19342;18874;19066;169848
GAZR;D;200813;000000;19087;19414;19031;19372;134746
GAZR;D;200814;000000;19331;19526;19218;19482;136352
GAZR;D;200815;000000;19489;19503;19153;19380;116761
GAZR;D;200818;000000;19380;19561;19000;19116;195944
GAZR;D;200819;000000;19116;19284;19015;19119;107602
GAZR;D;200820;000000;19106;19281;18972;19016;107381
GAZR;D;200821;000000;18980;18980;18651;18777;141567
GAZR;D;200822;000000;18778;18847;18412;18524;140878
GAZR;D;200825;000000;18540;18826;18540;18790;106321
GAZR;D;200826;000000;18793;18865;18533;18695;95671
GAZR;D;200827;000000;18698;18860;18555;18816;95590
GAZR;D;200828;000000;18822;18850;18283;18521;161293
GAZR;D;200829;000000;18528;18556;18298;18352;108424
GAZR;D;200901;000000;18352;18474;18087;18131;123040
GAZR;D;200902;000000;18155;18535;18141;18462;162675
GAZR;D;200903;000000;18484;18656;18137;18246;182686
GAZR;D;200904;000000;18254;18289;17880;17953;189000
GAZR;D;200905;000000;17931;18083;17821;17991;130468
GAZR;D;200908;000000;17966;18010;17618;17732;105934
GAZR;D;200909;000000;17744;17755;17257;17306;164512
GAZR;D;200910;000000;17295;17552;17234;17396;137384
GAZR;D;200911;000000;17632;17740;17361;17627;13504
GAZR;D;200912;000000;17678;18055;17598;18022;16348
GAZR;D;200915;000000;18042;18323;17975;18041;21571
GAZR;D;200916;000000;18029;18517;18020;18440;28351
GAZR;D;200917;000000;18480;18623;18361;18550;53619
GAZR;D;200918;000000;18505;18700;18245;18618;140040
GAZR;D;200919;000000;18620;18672;18330;18375;115907
GAZR;D;200922;000000;18367;18367;17726;17919;170298
GAZR;D;200923;000000;17904;18283;17829;18106;178176
GAZR;D;200924;000000;18108;18226;17872;17895;139877
GAZR;D;200925;000000;17880;18043;17405;17619;188959
GAZR;D;200926;000000;17630;17708;17122;17535;269671
GAZR;D;200929;000000;17550;17725;17306;17460;175469
GAZR;D;200930;000000;17460;17540;17187;17342;162385
GAZR;D;201001;000000;17329;17375;17160;17191;191949
GAZR;D;201002;000000;17194;17332;16972;17002;212668
GAZR;D;201003;000000;17002;17175;16886;17115;165881
GAZR;D;201006;000000;17140;17330;17036;17221;136678
GAZR;D;201007;000000;17235;17521;17220;17314;185018
GAZR;D;201008;000000;17317;17396;16861;16984;199072
GAZR;D;201009;000000;16984;17048;16777;16904;149430
GAZR;D;201010;000000;16918;16978;16730;16856;153369
GAZR;D;201013;000000;16857;17134;16834;17058;137714
GAZR;D;201014;000000;17051;17105;16727;16772;153344
GAZR;D;201015;000000;16779;16910;16715;16874;120737
GAZR;D;201016;000000;16856;17023;16734;16862;151367
GAZR;D;201017;000000;16863;16866;16486;16517;173990
GAZR;D;201020;000000;16535;16691;16425;16480;145201
GAZR;D;201021;000000;16495;16837;16398;16787;177225
GAZR;D;201022;000000;16789;16866;16511;16569;140011
GAZR;D;201023;000000;16557;16781;16500;16650;153488
GAZR;D;201024;000000;16637;16707;16555;16630;112631
GAZR;D;201027;000000;16612;16612;16265;16324;179405
GAZR;D;201028;000000;16340;16381;15922;16024;169692
GAZR;D;201029;000000;16016;16016;15469;15527;272710
GAZR;D;201030;000000;15528;15833;15515;15769;184328
GAZR;D;201031;000000;15750;15750;15503;15530;136466
GAZR;D;201103;000000;15515;15892;15273;15867;215653
GAZR;D;201104;000000;15876;16279;15832;16204;170480
