<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GMKN;D;150804;000000;950.48;967.5;950.4;958.63;412100
GMKN;D;150805;000000;958.63;1000.23;958.63;994.88;367500
GMKN;D;150806;000000;999.78;1021.79;986.63;1012.91;350800
GMKN;D;150807;000000;1014.9;1035.48;1014.48;1024.95;463200
GMKN;D;150808;000000;1022.76;1027.39;1015.38;1018.2;265700
GMKN;D;150811;000000;1019.94;1036.63;1016.66;1028;356800
GMKN;D;150812;000000;1027.44;1053.49;1018.8;1021.32;365100
GMKN;D;150813;000000;1020.57;1021.88;988.76;996;334300
GMKN;D;150814;000000;996.11;1006;984.81;995.8;202200
GMKN;D;150815;000000;995.12;1019.83;993.21;1016.99;263100
GMKN;D;150818;000000;1014.02;1092.27;1001.71;1007.99;326400
GMKN;D;150819;000000;1004.49;1005.11;988.21;994.69;176000
GMKN;D;150820;000000;992.18;994.33;976.66;985.19;251800
GMKN;D;150821;000000;985.17;1011.75;979.47;1009.85;374500
GMKN;D;150822;000000;1007.01;1021.04;1000.28;1011.5;288700
GMKN;D;150825;000000;1005;1040;992.46;1029.82;523100
GMKN;D;150826;000000;1030.74;1045.18;1005.05;1005.21;425200
GMKN;D;150827;000000;1010.77;1044.54;1005.08;1038.16;291800
GMKN;D;150828;000000;1040.22;1053.01;1035.73;1048;436400
GMKN;D;150829;000000;1045.18;1059.4;1036.29;1051;307700
GMKN;D;150901;000000;1048.19;1063.68;1041.62;1058;212000
GMKN;D;150902;000000;1056.08;1056.63;1020.21;1021;310700
GMKN;D;150903;000000;1026.2;1054.97;1026.2;1045.9;224600
GMKN;D;150904;000000;1043.64;1067.8;1039.4;1061;262500
GMKN;D;150905;000000;1060.66;1069.68;1050;1057;218400
GMKN;D;150908;000000;1059;1077.85;1059;1075.3;187900
GMKN;D;150909;000000;1077.84;1090.89;1071;1078.54;190200
GMKN;D;150910;000000;1082;1121.6;1080.46;1108.69;368300
GMKN;D;150911;000000;1107;1110;1094.53;1097;19700
GMKN;D;150912;000000;1095;1105;1080;1089.89;17200
GMKN;D;150915;000000;1089.89;1107.5;1086.33;1095.94;93200
GMKN;D;150916;000000;1096.8;1112.49;1094.71;1109.9;244600
GMKN;D;150917;000000;1109.02;1119.5;1103.5;1114.19;210400
GMKN;D;150918;000000;1110.35;1149.9;1106.26;1130;179500
GMKN;D;150919;000000;1128.8;1129.67;1100.72;1115.69;204100
GMKN;D;150922;000000;1114.35;1123.44;1100;1105.9;142500
GMKN;D;150923;000000;1106.3;1109.6;1059.75;1065.73;227700
GMKN;D;150924;000000;1060.57;1060.7;1004.2;1013.21;528300
GMKN;D;150925;000000;1012.56;1016.96;985.11;995.5;661400
GMKN;D;150926;000000;995;1005.05;975.65;981.47;332000
GMKN;D;150929;000000;982.59;991.1;957.62;963.54;522300
GMKN;D;150930;000000;963.5;972.79;951;956.29;379000
GMKN;D;151001;000000;958.02;972.19;954.16;968.71;338300
GMKN;D;151002;000000;971.87;976.79;953.97;960;405900
GMKN;D;151003;000000;962.25;979.22;952.5;976.34;230200
GMKN;D;151006;000000;977.28;981.45;960;969.93;316700
GMKN;D;151007;000000;966.26;974.1;945.51;952.05;342500
GMKN;D;151008;000000;952.12;954.99;925.18;939.93;516700
GMKN;D;151009;000000;941.11;942.5;922;934.25;412400
GMKN;D;151010;000000;936;980;929.14;975.2;861100
GMKN;D;151013;000000;975.95;994;969;975.7;537200
GMKN;D;151014;000000;976.92;988.91;969.03;983.5;310900
GMKN;D;151015;000000;983.5;1010.09;983.5;987.5;495600
GMKN;D;151016;000000;989.5;1006.55;986.02;1001;284800
GMKN;D;151017;000000;999.79;1005.81;976.01;982.49;233700
GMKN;D;151020;000000;980.1;995.79;976.09;995.4;223200
GMKN;D;151021;000000;993.06;999.95;976.64;981.1;216200
GMKN;D;151022;000000;978.04;984.78;946.43;951.77;279000
GMKN;D;151023;000000;951.95;974.82;937.53;974.82;341700
GMKN;D;151024;000000;974.24;995.43;963.26;989.47;246800
GMKN;D;151027;000000;989.97;992.3;972.22;980.73;228700
GMKN;D;151028;000000;982;982.84;966.92;981.4;206500
GMKN;D;151029;000000;984.36;986.55;969;979.5;278700
GMKN;D;151030;000000;979.46;980.23;961.02;961.95;235100
GMKN;D;151031;000000;963.82;974.42;960;964;228800
GMKN;D;151103;000000;961.94;971.61;958.4;965.8;187800
GMKN;D;151104;000000;971.76;985;965.01;973;320000
GMKN;D;151106;000000;971.29;976.89;965.01;973.99;235400
GMKN;D;151107;000000;973.9;982.7;950;967;309700
GMKN;D;151110;000000;967.45;969.6;949.95;955.5;223500
GMKN;D;151111;000000;957.9;963.48;953;954.7;256200
GMKN;D;151112;000000;954.85;958.47;944;946.68;181000
GMKN;D;151113;000000;946.67;960;942.92;955.9;212700
GMKN;D;151114;000000;955.99;962.1;944.21;955.5;227500
GMKN;D;151117;000000;955.1;957.75;940.68;944.01;229600
GMKN;D;151118;000000;945;956.4;940.92;946.5;257300
GMKN;D;151119;000000;944.99;977.39;941.02;977.01;402800
GMKN;D;151120;000000;977;983.73;964.03;971.94;411100
GMKN;D;151121;000000;975.75;980.47;963.57;970;163500
GMKN;D;151124;000000;970;970;950;950.01;270800
GMKN;D;151125;000000;952.5;957.84;928;938.4;460500
GMKN;D;151126;000000;939.3;951.09;939.3;949;295500
GMKN;D;151127;000000;950.02;964.25;941;942.8;269600
GMKN;D;151128;000000;942.7;949.18;925.05;926.5;247900
GMKN;D;151201;000000;926.75;937.96;900.19;902.21;466700
GMKN;D;151202;000000;903.1;921.44;901.67;909.49;463000
GMKN;D;151203;000000;910.45;919.99;890.5;895.88;365400
GMKN;D;151204;000000;897.02;922.74;894.28;920;390000
GMKN;D;151205;000000;920.01;924.98;885.39;893.01;431600
GMKN;D;151208;000000;892.6;899.67;876.22;895;350200
GMKN;D;151209;000000;894.99;904.52;884.32;899.43;245800
GMKN;D;151210;000000;900.76;909.99;890;898.82;230900
GMKN;D;151211;000000;890;904.99;885.84;887.5;8800
GMKN;D;151212;000000;890.37;892.3;881;881;22500
GMKN;D;151215;000000;882;889.4;870;878.95;125300
GMKN;D;151216;000000;875.58;902.53;875.55;899.68;175700
GMKN;D;151217;000000;898.05;914.71;895;912.3;194900
GMKN;D;151218;000000;910;940;907.51;934.03;226000
GMKN;D;151219;000000;934.01;945.38;918.44;920.55;347000
GMKN;D;151222;000000;921.99;929.4;894;896.45;240800
GMKN;D;151223;000000;896.7;922.99;896.7;919;212300
GMKN;D;151224;000000;918;940;916.2;937.01;174200
GMKN;D;151225;000000;935.02;937;917.43;932.77;197700
GMKN;D;151226;000000;931;931;922.61;925.8;60200
GMKN;D;151229;000000;924.01;928.01;921.3;925.5;99600
GMKN;D;151230;000000;925.51;945;925.38;938.71;198700
GMKN;D;151231;000000;938.96;942.8;842.4;926.96;182300
GMKN;D;160105;000000;927.5;932.49;900;903.28;168500
GMKN;D;160106;000000;905;929.19;905;926.45;76600
GMKN;D;160107;000000;925;931.31;916.16;921.32;86300
GMKN;D;160112;000000;914;914;866.25;868;362500
GMKN;D;160113;000000;870;888.28;861;871.39;252000
GMKN;D;160114;000000;872;895;870;873.53;180500
GMKN;D;160115;000000;874.49;886.98;855;867.09;235700
GMKN;D;160116;000000;862.55;864.72;812.12;812.98;290900
GMKN;D;160119;000000;819.58;855.12;798.79;848.98;314700
GMKN;D;160120;000000;849.1;876.79;845.03;869.46;287200
GMKN;D;160121;000000;866.1;886;847.02;886;476700
GMKN;D;160122;000000;885;933.95;877.18;925.5;478100
GMKN;D;160123;000000;929.5;938.21;908.24;921;545500
GMKN;D;160126;000000;920.28;923.09;910.87;912.5;252500
GMKN;D;160127;000000;910;928.4;895.1;907.38;262500
GMKN;D;160128;000000;904.82;921.3;902.53;915.5;165000
GMKN;D;160129;000000;912.5;916.99;897.9;903.33;237800
GMKN;D;160130;000000;908.6;909.99;885.05;895;210200
GMKN;D;160202;000000;890.97;901.98;873.74;883.4;267600
GMKN;D;160203;000000;882.29;904;879.05;897.22;384000
GMKN;D;160204;000000;901.65;906;888.23;898;290100
GMKN;D;160205;000000;897.3;911.74;890.64;907.29;281800
GMKN;D;160206;000000;907.9;917.5;901.6;903.75;201200
GMKN;D;160209;000000;903.95;908.98;891;899.21;222800
GMKN;D;160210;000000;900.6;904.9;857;869.07;229100
GMKN;D;160211;000000;870.6;877.14;857;859.08;227900
GMKN;D;160212;000000;859;862.88;833.58;848.5;366500
GMKN;D;160213;000000;851.5;854.28;839.48;842.5;232800
GMKN;D;160216;000000;847.48;857.5;835.95;840.31;264200
GMKN;D;160217;000000;844;863.49;840;863.49;303100
GMKN;D;160218;000000;861.5;873.5;858.03;870.11;320300
GMKN;D;160219;000000;872.18;896.08;869.14;883.22;262400
GMKN;D;160220;000000;886.7;889.97;871.78;880.33;208400
GMKN;D;160221;000000;880.89;886.88;872.56;874.21;45500
GMKN;D;160223;000000;878.68;885.49;873.06;877.47;150400
GMKN;D;160225;000000;877.49;889.5;868.98;888.53;255600
GMKN;D;160226;000000;888.5;892.06;872.41;881.37;244200
GMKN;D;160227;000000;885.76;905.95;882.51;898.5;304000
GMKN;D;160301;000000;895.92;921.35;890.77;915.86;271600
GMKN;D;160302;000000;914.01;923.92;908.69;916.6;275100
GMKN;D;160303;000000;918.5;919.98;907.5;914.28;305600
GMKN;D;160304;000000;912.39;929.03;910.14;923.65;279100
GMKN;D;160305;000000;924.42;936;921.3;936;333500
GMKN;D;160308;000000;936.07;951.89;934.28;951.08;356100
GMKN;D;160310;000000;949;949;930.31;935.77;419300
GMKN;D;160311;000000;934.5;934.5;922.5;923;4600
GMKN;D;160312;000000;932.86;937;916.6;925.7;23600
GMKN;D;160315;000000;920.2;960;913.01;931;63400
GMKN;D;160316;000000;920.12;932;920.11;925.8;102200
GMKN;D;160317;000000;925.81;950;907.57;920;229500
GMKN;D;160318;000000;919.03;933.3;918;932.5;374700
GMKN;D;160319;000000;931.52;947.77;926.15;942.97;264600
GMKN;D;160322;000000;940.01;947.27;930.2;940.59;249100
GMKN;D;160323;000000;938.01;947.33;931.4;941.55;246500
GMKN;D;160324;000000;940.62;944.45;917.96;923.01;237600
GMKN;D;160325;000000;919.08;927.5;893.81;904.71;285600
GMKN;D;160326;000000;905;906.99;899;905;81400
GMKN;D;160329;000000;903.41;910.13;894.17;900.3;289700
GMKN;D;160330;000000;899;901.59;878.5;895.47;294700
GMKN;D;160331;000000;895.47;907.96;889.48;894.46;227100
GMKN;D;160401;000000;892.01;898.05;865.66;866.65;520800
GMKN;D;160402;000000;868.97;868.98;843.7;852.32;365400
GMKN;D;160405;000000;853.1;860.03;840.27;853;958600
GMKN;D;160406;000000;853.75;881.55;853.75;879.87;659200
GMKN;D;160407;000000;881.54;891.03;880.83;887.99;285500
GMKN;D;160408;000000;889.99;891.86;866.29;871.56;413500
GMKN;D;160409;000000;874.99;874.99;859.72;868.99;168100
GMKN;D;160412;000000;864.67;888.99;863.18;885.72;279700
GMKN;D;160413;000000;885.69;891.14;871.83;888.27;384100
GMKN;D;160414;000000;888.26;924.3;883.57;920;440800
GMKN;D;160415;000000;919.98;928.36;910.01;918.34;403000
GMKN;D;160416;000000;915.51;920.48;900.7;905.38;179200
GMKN;D;160419;000000;904;929.98;903.57;929.95;415100
GMKN;D;160420;000000;927.52;938.48;918.12;925.58;397300
GMKN;D;160421;000000;925;936.89;918.76;929.01;266200
GMKN;D;160422;000000;928.41;941.71;921.56;940.01;424600
GMKN;D;160423;000000;941.45;975.9;936.65;975.52;414800
GMKN;D;160426;000000;975.03;978.17;955.81;963.1;304600
GMKN;D;160427;000000;963.99;987.71;959.29;976;201000
GMKN;D;160428;000000;978.45;985.38;961.57;967.53;242200
GMKN;D;160429;000000;967.52;980.23;941.19;974.5;466900
GMKN;D;160430;000000;978.2;978.99;935.11;947.39;349600
GMKN;D;160505;000000;943.01;956.07;908;910;336600
GMKN;D;160506;000000;914;916.86;891.52;897.44;363200
GMKN;D;160507;000000;896;900.35;882.69;888.84;363600
GMKN;D;160511;000000;887.51;896.09;874.1;894.01;341300
GMKN;D;160512;000000;894;909.78;893;898.78;354000
GMKN;D;160513;000000;896.82;916.11;896.75;900;368700
GMKN;D;160514;000000;899.04;909.98;891.08;908;374200
GMKN;D;160517;000000;908.86;921.12;900.81;902.2;376700
GMKN;D;160518;000000;903.99;907.58;891.1;904.15;334800
GMKN;D;160519;000000;901.28;921.9;896.53;916.6;449100
GMKN;D;160520;000000;914.01;932.55;912.5;932;401900
GMKN;D;160521;000000;930.9;937;916.18;918.31;339800
GMKN;D;160524;000000;919.54;919.8;906.16;912.51;220300
GMKN;D;160525;000000;910.01;921.67;904.99;917;247900
GMKN;D;160526;000000;916.01;926.3;910.06;912.01;156500
GMKN;D;160527;000000;912.36;928.58;910.85;923.55;256800
GMKN;D;160528;000000;923.52;928.92;918;923.89;220600
GMKN;D;160531;000000;923.9;928.19;918.51;928.19;63400
GMKN;D;160601;000000;927;933.17;903.7;903.7;307900
GMKN;D;160602;000000;906.49;914.22;893.58;905.96;264400
GMKN;D;160603;000000;905.61;911.26;893.45;904.01;220200
GMKN;D;160604;000000;903.73;913.15;887.16;890.43;352600
GMKN;D;160607;000000;890.09;908.86;890.08;899.2;397700
GMKN;D;160608;000000;899.1;907.25;895;897.86;354800
GMKN;D;160609;000000;898.82;899.22;878.35;888.41;458200
GMKN;D;160610;000000;887.71;890.8;864.2;875.8;327400
GMKN;D;160611;000000;879.99;887.58;871.57;876.47;54200
GMKN;D;160615;000000;875.7;879.93;865.78;867.32;169500
GMKN;D;160616;000000;867.5;871.15;852.23;856.84;233900
GMKN;D;160617;000000;855.34;855.99;838;850.5;362300
GMKN;D;160618;000000;852.42;861.14;840.5;843.25;322800
GMKN;D;160621;000000;843.49;860.02;843.49;852.7;318600
GMKN;D;160622;000000;852.71;863;838.9;863;439800
GMKN;D;160623;000000;862.99;867.3;850.4;851.62;285400
GMKN;D;160624;000000;853.25;861.37;842.4;860.06;237900
GMKN;D;160625;000000;844;857.85;828.61;848.16;562600
GMKN;D;160628;000000;854.98;856.7;841.25;852.2;386000
GMKN;D;160629;000000;852.49;867.87;851.04;867.12;440200
GMKN;D;160630;000000;868.49;877.1;861.5;863;524800
GMKN;D;160701;000000;866.45;873.64;860.98;869.99;303300
GMKN;D;160702;000000;870.28;870.51;856.75;870;244000
GMKN;D;160705;000000;872.76;908.44;872.76;907;765200
GMKN;D;160706;000000;905.8;915.36;893.7;895.6;686500
GMKN;D;160707;000000;897.11;906.43;890.08;903.47;358200
GMKN;D;160708;000000;901.34;905.81;882.01;882.01;392700
GMKN;D;160709;000000;882.42;889.5;867.89;885.9;386900
GMKN;D;160712;000000;886.45;904;885.07;902.37;229500
GMKN;D;160713;000000;901.55;919.94;901.01;917.22;228200
GMKN;D;160714;000000;916.02;944.9;911.55;942.7;397800
GMKN;D;160715;000000;942.7;945.97;923.05;938.51;419700
GMKN;D;160716;000000;938.51;944.5;934;938.2;163200
GMKN;D;160719;000000;940;951;937.02;945;166800
GMKN;D;160720;000000;943.32;947.5;935.19;940.2;171300
GMKN;D;160721;000000;942.48;944.11;917.13;940;435100
GMKN;D;160722;000000;942.01;953.45;930.1;948.01;274200
GMKN;D;160723;000000;948.01;958.95;945.56;957.34;165400
GMKN;D;160726;000000;958.24;958.31;938.48;940.38;277000
GMKN;D;160727;000000;941.01;948.95;930.55;947.25;316100
GMKN;D;160728;000000;948.25;957.74;938.21;954.11;228000
GMKN;D;160729;000000;953.37;967.55;944.41;966.66;339900
GMKN;D;160730;000000;966.55;972.49;958.42;958.8;246900
GMKN;D;160802;000000;964.64;979.45;962.6;973.81;274000
GMKN;D;160803;000000;974.45;980.82;962.25;969.2;322600
GMKN;D;160804;000000;970.5;982.52;970.5;981.36;198900
GMKN;D;160805;000000;982.23;987.06;970.14;981.05;354300
GMKN;D;160806;000000;981.61;989;977.23;988.24;209600
GMKN;D;160809;000000;988.96;993.67;985;986.86;196000
GMKN;D;160810;000000;987.97;999;987.76;995.01;214400
GMKN;D;160811;000000;996.96;1002;954.97;999.8;353300
GMKN;D;160812;000000;1000.4;1014.8;998.69;1002.8;354400
GMKN;D;160813;000000;1003.98;1008;982;989.62;348900
GMKN;D;160816;000000;990;1011.49;981.48;1006.6;300700
GMKN;D;160817;000000;1006.61;1009.87;988.3;999.6;307800
GMKN;D;160818;000000;1000.07;1001.6;978.93;980;201100
GMKN;D;160819;000000;983;990.49;962.73;968.9;207500
GMKN;D;160820;000000;968.91;993.23;967.8;988.24;301700
GMKN;D;160823;000000;986.55;995.24;980.52;994;213500
GMKN;D;160824;000000;994.94;1001.15;990.23;993;173700
GMKN;D;160825;000000;993.29;995.1;980.18;990.14;212900
GMKN;D;160826;000000;990.08;990.08;970.98;980.96;214700
GMKN;D;160827;000000;980;981.15;960;961.7;286300
GMKN;D;160830;000000;960.06;970.79;950.87;969.75;274900
GMKN;D;160831;000000;970;979.65;965.12;967.98;229900
GMKN;D;160901;000000;969;969;956.36;963;200100
GMKN;D;160902;000000;965;972.6;962;966.58;172200
GMKN;D;160903;000000;967.76;978.77;966.04;976.8;170000
GMKN;D;160906;000000;979;983.85;969.79;974.06;269500
GMKN;D;160907;000000;974.05;994.87;974.05;993;244300
GMKN;D;160908;000000;994.5;996.78;986.7;989.55;285500
GMKN;D;160909;000000;989.55;992.5;978;979.66;176400
GMKN;D;160910;000000;978.81;989.48;970.75;972;235800
GMKN;D;160913;000000;994.89;994.89;985.02;993;4200
GMKN;D;160914;000000;989.57;1003.09;989.57;992.55;11300
GMKN;D;160915;000000;992.51;996;975.03;979.48;109600
GMKN;D;160916;000000;977.3;981.25;962.76;972.64;230300
GMKN;D;160917;000000;972.6;978;959.5;965;179300
GMKN;D;160920;000000;966.43;978.05;964.44;970.8;216800
GMKN;D;160921;000000;972.99;980.3;968;977.15;196600
GMKN;D;160922;000000;978.97;979.19;960.01;964.19;220300
GMKN;D;160923;000000;964.06;991.96;962.52;991.01;324700
GMKN;D;160924;000000;990;994.46;971.5;989.08;297300
GMKN;D;160927;000000;986.6;992.95;979.51;982;254200
GMKN;D;160928;000000;983.43;1003.92;983.43;1000.54;320200
GMKN;D;160929;000000;1000.72;1019.99;999.75;1017.02;185400
GMKN;D;160930;000000;1016.79;1023.73;1004.9;1010;258900
GMKN;D;161001;000000;1007.01;1016.15;995.55;996.03;317700
GMKN;D;161004;000000;997.5;1000;976.3;979.73;219100
GMKN;D;161005;000000;979.95;989.22;969.06;977;162400
GMKN;D;161006;000000;973.02;973.86;956.7;966.99;170500
GMKN;D;161007;000000;966.04;975.9;957.5;963;136800
GMKN;D;161008;000000;962.66;968.97;948.5;952.5;169800
GMKN;D;161011;000000;953.5;964.06;953.49;957.99;145800
GMKN;D;161012;000000;956.6;961.96;953.02;958.21;120200
GMKN;D;161013;000000;959.97;964.43;952.03;958.4;126500
GMKN;D;161014;000000;958.12;959.22;946.03;958.01;149900
GMKN;D;161015;000000;957.89;959.93;948.92;952.1;102000
GMKN;D;161018;000000;950.9;956.25;934.68;939.99;153600
GMKN;D;161019;000000;939.99;954.99;939.99;954.48;151900
GMKN;D;161020;000000;953.64;953.7;935.89;942.99;166100
GMKN;D;161021;000000;940.9;942.71;930.89;938;114800
GMKN;D;161022;000000;937.5;951.41;928.1;950.43;201800
GMKN;D;161025;000000;951;953.39;933.16;936.98;193400
GMKN;D;161026;000000;937.99;952.95;935.51;945.75;183400
GMKN;D;161027;000000;944.65;950.42;938.51;945.15;153300
GMKN;D;161028;000000;945.94;962;944.78;955.78;198500
GMKN;D;161029;000000;954.51;957.27;943.19;944;163700
GMKN;D;161101;000000;944.08;949.59;931.43;946.88;203000
GMKN;D;161102;000000;946.87;952.99;940.2;941.99;190200
GMKN;D;161103;000000;942;942;930;930;136900
GMKN;D;161104;000000;929.79;932.1;922.7;925;200500
GMKN;D;161108;000000;926.1;946.18;926.1;942.3;214800
GMKN;D;161109;000000;941.19;960.2;940.68;956.83;171600
GMKN;D;161110;000000;953.89;975.63;937.7;968.91;354900
GMKN;D;161111;000000;971.98;1040;971.98;1025.51;566200
GMKN;D;161112;000000;1025.91;1045.88;1015.84;1024.65;559000
GMKN;D;161115;000000;1027.49;1048.98;1020.2;1048.75;242800
GMKN;D;161116;000000;1045.55;1060.64;1032.1;1046.8;255000
GMKN;D;161117;000000;1049.89;1060.03;1029.84;1039.45;343600
GMKN;D;161118;000000;1038.55;1041.91;1022.2;1036.15;209200
GMKN;D;161119;000000;1037.49;1040.86;1013.65;1018.08;165600
