<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GOLD;D;200804;000000;1975.5;1977.9;1960.5;1976.9;102721
GOLD;D;200805;000000;1976.5;2020.9;1968.1;2020;158423
GOLD;D;200806;000000;2020;2056.2;2020;2038.4;195524
GOLD;D;200807;000000;2039.1;2070.1;2039.1;2066.2;135893
GOLD;D;200808;000000;2065;2065;2015;2033.1;170301
GOLD;D;200811;000000;2033;2050.2;2018.8;2025.9;110912
GOLD;D;200812;000000;2025;2025;1904.2;1915;348148
GOLD;D;200813;000000;1915.5;1952.2;1909.5;1917.4;309106
GOLD;D;200814;000000;1920;1966.9;1920;1956.1;237687
GOLD;D;200815;000000;1952.7;1957.5;1932.7;1944.5;122817
GOLD;D;200818;000000;1945.6;1992.2;1945.6;1985.4;153415
GOLD;D;200819;000000;1986.3;2016.4;1978;2000.6;182843
GOLD;D;200820;000000;2000.5;2000.5;1924.6;1925.1;251447
GOLD;D;200821;000000;1930;1956.2;1925.1;1950.4;195539
GOLD;D;200822;000000;1950.7;1951.1;1911.5;1940.4;187373
GOLD;D;200825;000000;1939.6;1962.9;1925.3;1928.5;147707
GOLD;D;200826;000000;1928.5;1936.9;1914.7;1928.8;117967
GOLD;D;200827;000000;1927.4;1956.5;1902;1954.4;211204
GOLD;D;200828;000000;1954;1977.9;1910.4;1928.3;270279
GOLD;D;200829;000000;1930.2;1974.3;1925.7;1966.3;169606
GOLD;D;200901;000000;1966.1;1975.8;1955.9;1966;106771
GOLD;D;200902;000000;1970;1992.9;1963.4;1971.3;109894
GOLD;D;200903;000000;1970.5;1972.4;1933.2;1944.3;155803
GOLD;D;200904;000000;1942.7;1946.9;1921.9;1930.7;127671
GOLD;D;200905;000000;1932.7;1949.8;1916.8;1932.9;155881
GOLD;D;200908;000000;1930.9;1940;1924.5;1936.3;34821
GOLD;D;200909;000000;1933.6;1942;1906.1;1932.1;174854
GOLD;D;200910;000000;1930;1960.9;1920.5;1948.2;98960
GOLD;D;200911;000000;1957.1;1981.2;1951.1;1957.2;9672
GOLD;D;200912;000000;1954.9;1965.3;1948.4;1959.1;7061
GOLD;D;200915;000000;1955.3;1972.4;1950;1968;17765
GOLD;D;200916;000000;1968.5;1980.7;1958;1962.5;40707
GOLD;D;200917;000000;1964.9;1983;1960.6;1969;78812
GOLD;D;200918;000000;1967;1967;1939;1953.5;111307
GOLD;D;200919;000000;1953.6;1965.5;1950.5;1955.2;71098
GOLD;D;200922;000000;1955.6;1960.4;1880.8;1917.8;184662
GOLD;D;200923;000000;1915;1923.3;1898.4;1905;99911
GOLD;D;200924;000000;1905;1905;1857.5;1864.5;167586
GOLD;D;200925;000000;1864;1879.9;1851.1;1872.2;128610
GOLD;D;200926;000000;1872.5;1879.2;1853.1;1866;95728
GOLD;D;200929;000000;1863.3;1888.8;1851.4;1888.8;108279
GOLD;D;200930;000000;1888.9;1901.7;1879.9;1900.1;83542
GOLD;D;201001;000000;1899.5;1905.4;1882.1;1887.9;106805
GOLD;D;201002;000000;1889;1915;1889;1908.2;96373
GOLD;D;201003;000000;1910;1917.8;1900;1902.7;77238
GOLD;D;201006;000000;1901.2;1921.4;1889;1915;76181
GOLD;D;201007;000000;1915;1923.2;1876.5;1878.7;112535
GOLD;D;201008;000000;1880;1900.7;1880;1889.8;83186
GOLD;D;201009;000000;1891;1906;1883.3;1897;82578
GOLD;D;201010;000000;1897.7;1934.7;1897.7;1934.2;107181
GOLD;D;201013;000000;1932.2;1932.2;1921;1924.3;59837
GOLD;D;201014;000000;1924.1;1927.7;1889.6;1894.5;117905
GOLD;D;201015;000000;1895.5;1916.1;1895.2;1903.5;86083
GOLD;D;201016;000000;1903;1910.9;1891;1910.4;99019
GOLD;D;201017;000000;1909.5;1916.7;1900.1;1900.7;77934
GOLD;D;201020;000000;1904;1920.4;1901.2;1904.4;82651
GOLD;D;201021;000000;1904.3;1915.7;1898.2;1909.9;79853
GOLD;D;201022;000000;1911.5;1933.5;1911.5;1925.4;105088
GOLD;D;201023;000000;1925;1925;1895.1;1904.3;124782
GOLD;D;201024;000000;1905.4;1914.8;1896.4;1904.2;85673
GOLD;D;201027;000000;1903.2;1909.4;1897;1902.8;66551
GOLD;D;201028;000000;1904.8;1912.6;1898.6;1908;73893
GOLD;D;201029;000000;1907.1;1908.5;1868;1875.6;151352
GOLD;D;201030;000000;1876.8;1883.9;1860.1;1866.9;115953
GOLD;D;201031;000000;1869.3;1890.9;1867.2;1877.7;110865
GOLD;D;201103;000000;1877.9;1896.7;1877.9;1896;70562
GOLD;D;201104;000000;1895;1910.7;1888.2;1907;76304
GOLD;D;201106;000000;1907.5;1953.4;1907.5;1950;168167
GOLD;D;201107;000000;1949.8;1960.8;1940.5;1952.9;155482
GOLD;D;201110;000000;1954.2;1963.6;1850.6;1866.4;326658
GOLD;D;201111;000000;1868.8;1891.3;1867.3;1878;153646
GOLD;D;201112;000000;1879.4;1883.1;1855.9;1864;123037
GOLD;D;201113;000000;1865.2;1884.6;1863.2;1876.4;97393
GOLD;D;201114;000000;1878;1897.5;1876.6;1888.5;85131
GOLD;D;201117;000000;1888.8;1896.9;1864.3;1888.2;159664
GOLD;D;201118;000000;1888.5;1894.6;1878.3;1882.2;81089
GOLD;D;201119;000000;1881.2;1886.3;1864.3;1869.5;130372
GOLD;D;201120;000000;1869.1;1869.1;1852.9;1867.4;135125
GOLD;D;201121;000000;1867.9;1880.7;1861.6;1874.7;95964
GOLD;D;201124;000000;1874.5;1876.3;1830.2;1838;194112
GOLD;D;201125;000000;1837.2;1837.2;1800.2;1806.9;203263
GOLD;D;201126;000000;1806.3;1818.7;1804.2;1808.3;92892
GOLD;D;201127;000000;1808.3;1819.7;1807;1811.5;51747
GOLD;D;201128;000000;1810.4;1812.7;1774;1783.8;167750
GOLD;D;201201;000000;1783;1784.6;1764.9;1778.3;148555
GOLD;D;201202;000000;1778.6;1818.8;1778.6;1816.1;155459
GOLD;D;201203;000000;1815;1833;1811.1;1828.4;190070
GOLD;D;201204;000000;1830;1844.5;1823.6;1841;157108
GOLD;D;201205;000000;1842;1848.7;1831.1;1836.9;134049
GOLD;D;201208;000000;1836.8;1869.7;1821.2;1862.9;165576
GOLD;D;201209;000000;1863.4;1876.5;1861;1871.3;124671
GOLD;D;201210;000000;1870.1;1870.1;1824.7;1836.5;208239
GOLD;D;201211;000000;1843.4;1859.1;1837.2;1844.7;13259
GOLD;D;201212;000000;1844.5;1855.7;1831.3;1844.6;10975
GOLD;D;201215;000000;1843.2;1845.5;1825.9;1833.7;20579
GOLD;D;201216;000000;1835.1;1860.2;1835.1;1858.1;28229
GOLD;D;201217;000000;1858.1;1872.8;1849.4;1871.5;72296
GOLD;D;201218;000000;1872.8;1904.5;1872.8;1887;200095
GOLD;D;201219;000000;1886;1895.8;1883.1;1886.3;104274
GOLD;D;201222;000000;1886.6;1907.3;1859.7;1882.1;222297
GOLD;D;201223;000000;1881.9;1887;1865.1;1865.4;95105
