<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
LKOH;D;200804;000000;51105;51176;50595;50651;11611
LKOH;D;200805;000000;50809;50928;50357;50681;7892
LKOH;D;200806;000000;50730;51835;50720;51659;16035
LKOH;D;200807;000000;51670;51988;51201;51600;12012
LKOH;D;200808;000000;51576;51576;50948;51152;8936
LKOH;D;200811;000000;51245;51778;50951;51400;9842
LKOH;D;200812;000000;51400;52345;51400;51930;14354
LKOH;D;200813;000000;51950;53290;51950;53277;14786
LKOH;D;200814;000000;53275;53644;52764;53282;17999
LKOH;D;200815;000000;53350;53390;52537;53040;10974
LKOH;D;200818;000000;53129;53422;52575;53000;10683
LKOH;D;200819;000000;52851;53114;52515;52875;9263
LKOH;D;200820;000000;52863;53296;52455;52501;10657
LKOH;D;200821;000000;52453;52453;51125;51511;16574
LKOH;D;200822;000000;51600;51700;50430;51020;15768
LKOH;D;200825;000000;51080;52139;51070;52064;16831
LKOH;D;200826;000000;52088;52405;51601;52388;12770
LKOH;D;200827;000000;52390;53001;52140;52850;14427
LKOH;D;200828;000000;52924;53040;51653;51854;17105
LKOH;D;200829;000000;51852;51887;50714;50892;14447
LKOH;D;200901;000000;50893;51388;49701;50000;18085
LKOH;D;200902;000000;50019;50274;49287;49544;19574
LKOH;D;200903;000000;49600;49873;48306;48566;29860
LKOH;D;200904;000000;48566;49024;48048;48248;23860
LKOH;D;200905;000000;48240;48940;48125;48676;14272
LKOH;D;200908;000000;48600;48600;47970;48030;9674
LKOH;D;200909;000000;48100;48267;46905;47199;20897
LKOH;D;200910;000000;47160;47626;46719;47484;13223
LKOH;D;200911;000000;47624;47642;46689;47050;930
LKOH;D;200912;000000;47030;47755;46949;47717;1437
LKOH;D;200915;000000;47965;48338;47790;47919;2505
LKOH;D;200916;000000;47994;49208;47814;49136;4181
LKOH;D;200917;000000;49176;49750;48613;49090;10701
LKOH;D;200918;000000;48955;48955;47955;48297;20936
LKOH;D;200919;000000;48297;48500;47001;47235;25627
LKOH;D;200922;000000;47202;47209;45091;45570;42701
LKOH;D;200923;000000;45550;46022;45040;45750;36441
LKOH;D;200924;000000;45700;45852;44910;44951;30665
LKOH;D;200925;000000;44983;46206;44508;46025;32384
LKOH;D;200926;000000;46092;46379;45184;46010;20519
LKOH;D;200929;000000;46016;46654;45840;46572;14007
LKOH;D;200930;000000;46572;46726;45177;45421;23955
LKOH;D;201001;000000;45330;45500;44875;45051;14591
LKOH;D;201002;000000;45128;45335;44250;44425;17133
LKOH;D;201003;000000;44425;44425;43476;44054;21488
LKOH;D;201006;000000;44107;45089;44010;45053;21360
LKOH;D;201007;000000;45089;45883;45056;45477;22681
LKOH;D;201008;000000;45430;45566;44281;44895;23643
LKOH;D;201009;000000;44905;45482;44533;45133;19648
LKOH;D;201010;000000;45200;45400;44338;44700;17569
LKOH;D;201013;000000;44683;45077;44473;44610;11472
LKOH;D;201014;000000;44632;44876;43844;43903;15033
LKOH;D;201015;000000;43907;44091;43499;43770;15298
LKOH;D;201016;000000;43790;43790;42270;42688;32087
LKOH;D;201017;000000;42621;42997;41981;42510;22061
LKOH;D;201020;000000;42510;42911;41712;41877;15985
LKOH;D;201021;000000;41844;42865;41645;42699;18480
LKOH;D;201022;000000;42700;42925;41973;42090;17201
LKOH;D;201023;000000;42087;43123;41847;43040;27632
LKOH;D;201024;000000;43017;43667;42838;43172;23221
LKOH;D;201027;000000;43175;43175;42020;42222;19416
LKOH;D;201028;000000;42244;42464;41092;41191;30934
LKOH;D;201029;000000;41150;41150;39589;40095;43127
LKOH;D;201030;000000;40097;40654;39884;40460;27573
LKOH;D;201031;000000;40400;40702;39001;40398;27723
