<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MIX;D;111001;000000;140005;142900;134000;134000;6915
MIX;D;111004;000000;132605;136085;131800;132350;20167
MIX;D;111005;000000;131800;135585;124450;130005;67177
MIX;D;111006;000000;130015;131450;125065;128565;23727
MIX;D;111007;000000;129850;134000;128990;133820;18348
MIX;D;111008;000000;134070;136950;133055;134865;14628
MIX;D;111011;000000;136000;138460;133800;137775;15458
MIX;D;111012;000000;138240;138270;134580;137400;22305
MIX;D;111013;000000;136445;140785;135625;139910;15688
MIX;D;111014;000000;139725;141070;137560;138930;19846
MIX;D;111015;000000;139980;143450;138105;142745;13760
MIX;D;111018;000000;143500;143990;138615;139055;15681
MIX;D;111019;000000;138510;143300;137130;143230;17914
MIX;D;111020;000000;142170;143485;138620;140045;14225
MIX;D;111021;000000;139800;142000;137535;141155;19674
MIX;D;111022;000000;140985;144640;139880;144640;12312
MIX;D;111025;000000;145000;149185;144515;148045;10502
MIX;D;111026;000000;147550;147590;143015;144070;13641
MIX;D;111027;000000;144290;150675;144020;149980;14190
MIX;D;111028;000000;150845;155200;149405;154760;13449
MIX;D;111029;000000;154495;154880;150490;152735;8702
MIX;D;111101;000000;149700;152670;148810;149150;5759
MIX;D;111102;000000;148475;149325;143190;144965;11314
MIX;D;111103;000000;146495;149140;145050;148515;12987
MIX;D;111104;000000;147255;150660;142785;150425;15055
MIX;D;111108;000000;150770;151865;147910;151800;4818
MIX;D;111109;000000;151760;153550;150480;153550;5444
MIX;D;111110;000000;153750;153750;143675;144565;7238
MIX;D;111111;000000;144840;149690;143720;148400;8008
MIX;D;111112;000000;148520;150510;145850;148450;5141
MIX;D;111115;000000;148980;150800;147270;148200;5442
MIX;D;111116;000000;148380;150320;145005;149100;7702
MIX;D;111117;000000;148005;149950;146170;149630;6597
MIX;D;111118;000000;148020;149500;144310;144710;8323
MIX;D;111119;000000;145220;147480;143530;145940;5061
MIX;D;111122;000000;145000;145000;137240;138555;7966
MIX;D;111123;000000;139180;142140;138650;140155;5828
MIX;D;111124;000000;138500;142085;137415;139810;7254
MIX;D;111125;000000;139505;141465;138415;138960;2913
