<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
NG;D;200221;000000;2.017;2.017;1.909;1.915;317
NG;D;200222;000000;1.902;1.914;1.865;1.906;301
NG;D;200226;000000;1.842;1.889;1.821;1.846;483
NG;D;200227;000000;1.842;1.886;1.822;1.827;2980
NG;D;200228;000000;1.82;1.82;1.722;1.749;6418
NG;D;200229;000000;1.71;1.764;1.569;1.69;5050
NG;D;200303;000000;1.739;1.765;1.703;1.763;3087
NG;D;200304;000000;1.763;1.841;1.762;1.804;2995
NG;D;200305;000000;1.803;1.845;1.789;1.835;1492
NG;D;200306;000000;1.844;1.85;1.766;1.769;1250
NG;D;200307;000000;1.766;1.766;1.708;1.72;2506
NG;D;200311;000000;1.751;1.981;1.741;1.974;349
NG;D;200312;000000;1.963;2.04;1.91;1.928;231
NG;D;200313;000000;1.903;1.92;1.826;1.856;1125
NG;D;200314;000000;1.895;1.98;1.895;1.934;311
NG;D;200317;000000;1.872;1.884;1.818;1.85;766
NG;D;200318;000000;1.832;1.858;1.755;1.755;1165
NG;D;200319;000000;1.721;1.73;1.594;1.686;946
NG;D;200320;000000;1.682;1.73;1.657;1.724;469
NG;D;200321;000000;1.702;1.837;1.65;1.654;1440
NG;D;200324;000000;1.651;1.703;1.601;1.66;1462
NG;D;200325;000000;1.674;1.749;1.666;1.74;2805
NG;D;200326;000000;1.75;1.783;1.701;1.724;595
NG;D;200327;000000;1.712;1.746;1.676;1.693;3007
NG;D;200328;000000;1.698;1.709;1.653;1.674;2532
NG;D;200331;000000;1.662;1.704;1.617;1.701;2394
NG;D;200401;000000;1.712;1.739;1.641;1.645;3063
NG;D;200402;000000;1.645;1.675;1.585;1.597;5519
NG;D;200403;000000;1.628;1.628;1.505;1.555;12126
NG;D;200404;000000;1.56;1.66;1.539;1.65;13494
NG;D;200407;000000;1.657;1.754;1.636;1.749;9564
NG;D;200408;000000;1.755;1.909;1.755;1.903;5206
NG;D;200409;000000;1.876;1.896;1.774;1.797;5723
NG;D;200410;000000;1.817;1.821;1.724;1.75;8432
NG;D;200411;000000;1.861;1.928;1.861;1.891;36
NG;D;200414;000000;1.898;1.931;1.855;1.895;194
NG;D;200415;000000;1.894;1.895;1.81;1.821;339
NG;D;200416;000000;1.811;1.817;1.742;1.742;785
NG;D;200417;000000;1.765;1.87;1.708;1.848;394
NG;D;200418;000000;1.862;1.957;1.819;1.905;1368
NG;D;200421;000000;1.9;2.08;1.853;2.053;2466
NG;D;200422;000000;2.048;2.217;1.945;1.98;2896
NG;D;200423;000000;1.98;2.075;1.93;2.049;1565
NG;D;200424;000000;2.061;2.065;1.934;1.949;1071
NG;D;200425;000000;1.969;1.999;1.869;1.871;5173
NG;D;200428;000000;1.858;1.925;1.766;1.916;4490
NG;D;200429;000000;1.926;2.019;1.887;1.96;6197
NG;D;200430;000000;1.968;1.974;1.86;1.878;4498
NG;D;200501;000000;1.875;1.985;1.825;1.945;4438
NG;D;200505;000000;1.974;2.002;1.935;1.992;3100
NG;D;200506;000000;2;2.158;2;2.082;4225
NG;D;200507;000000;2.07;2.089;1.932;1.949;3704
NG;D;200508;000000;1.947;1.989;1.89;1.904;4808
NG;D;200509;000000;1.911;1.922;1.816;1.832;4138
NG;D;200513;000000;2.085;2.102;1.942;1.948;2092
NG;D;200514;000000;1.941;1.975;1.84;1.876;2223
NG;D;200515;000000;1.874;1.929;1.855;1.875;1802
NG;D;200516;000000;1.875;1.92;1.825;1.836;2665
NG;D;200519;000000;1.851;2.022;1.851;1.963;6537
