<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
PLT;D;150804;000000;989.1;989.1;962.5;962.6;32
PLT;D;150805;000000;962.1;970.9;953.3;953.3;47
PLT;D;150806;000000;957;958.2;952.3;952.9;24
PLT;D;150807;000000;958;962.4;952.3;958.3;57
PLT;D;150808;000000;963.1;968.5;953.9;965.9;76
PLT;D;150811;000000;970.4;995;970.4;992;163
PLT;D;150812;000000;985.9;1002.6;985.9;991.9;169
PLT;D;150813;000000;994.2;1008.8;992.8;1008.8;75
PLT;D;150814;000000;1001.5;1002.3;997.6;997.6;61
PLT;D;150815;000000;998.6;1000.9;991.4;994.6;22
PLT;D;150818;000000;1003.9;1008.3;994;1000.2;150
PLT;D;150819;000000;1000.1;1002;988.5;996.4;35
PLT;D;150820;000000;995.3;1016.8;994.6;1016.8;254
PLT;D;150821;000000;1019.9;1031;1019.1;1030.1;359
PLT;D;150822;000000;1029.9;1034.9;1024.7;1026.1;92
PLT;D;150825;000000;1017.7;1017.7;985.5;994.1;284
PLT;D;150826;000000;991;999.6;975.1;980.9;47
PLT;D;150827;000000;981.9;988;972.8;982.7;69
PLT;D;150828;000000;984;1008;984;1002.1;90
PLT;D;150829;000000;1007.1;1026;998.5;1022.7;165
PLT;D;150901;000000;1013.3;1014;1003.1;1014;105
PLT;D;150902;000000;1014;1017.9;1006.2;1006.2;100
PLT;D;150903;000000;1012.4;1017.5;1012;1017;27
PLT;D;150904;000000;1015.7;1024.9;1008;1009;30
PLT;D;150905;000000;1012.5;1014;998;998.5;15
PLT;D;150908;000000;993.5;993.5;993.5;993.5;1
PLT;D;150909;000000;998.5;1010;998.5;1010;109
PLT;D;150910;000000;1003.1;1003.2;986.6;987.4;35
PLT;D;150911;000000;992.8;992.8;988;988;7
PLT;D;150912;000000;988;988;968;977.4;134
PLT;D;150915;000000;975;975;961;965.1;159
PLT;D;150916;000000;962.5;974.3;958.9;971.8;204
PLT;D;150917;000000;968.4;981;965;979.8;220
PLT;D;150918;000000;974.5;992.6;963.2;986;371
PLT;D;150919;000000;985.6;993.7;980;983.5;156
PLT;D;150922;000000;984.6;984.6;977;980.2;79
PLT;D;150923;000000;980.1;980.1;942;947.1;1075
PLT;D;150924;000000;945.6;952;935.2;943.8;276
