<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ROSN;D;100804;000000;20995;21029;20511;20701;7761
ROSN;D;100805;000000;20701;20990;20400;20888;5898
ROSN;D;100806;000000;20974;20974;20481;20725;5682
ROSN;D;100807;000000;20755;20863;20289;20495;5124
ROSN;D;100810;000000;20598;20885;20550;20750;3781
ROSN;D;100811;000000;20700;20700;20106;20349;9650
ROSN;D;100812;000000;20323;20323;19820;19891;13726
ROSN;D;100813;000000;19839;20187;19722;19999;7656
ROSN;D;100814;000000;20055;20220;19704;19964;8474
ROSN;D;100817;000000;19998;20180;19750;20060;7084
ROSN;D;100818;000000;20064;20440;20064;20400;10869
ROSN;D;100819;000000;20383;20384;20058;20227;6532
ROSN;D;100820;000000;20255;20410;20082;20124;6500
ROSN;D;100821;000000;20145;20263;19801;20075;7135
ROSN;D;100824;000000;20249;20249;19625;19768;8172
ROSN;D;100825;000000;19701;19750;19403;19567;5493
ROSN;D;100826;000000;19514;19726;19361;19600;5656
ROSN;D;100827;000000;19497;19719;19390;19500;8212
ROSN;D;100828;000000;19511;19800;19281;19800;7583
ROSN;D;100831;000000;19805;19896;19511;19511;4818
ROSN;D;100901;000000;19469;19682;19305;19571;7613
ROSN;D;100902;000000;19571;20049;19425;20046;9336
ROSN;D;100903;000000;19971;20343;19923;20194;9539
ROSN;D;100904;000000;20160;20453;19960;20239;9528
ROSN;D;100907;000000;20250;20548;20200;20228;5456
ROSN;D;100908;000000;20175;20202;19880;19880;5525
ROSN;D;100909;000000;19880;20400;19767;20275;6455
ROSN;D;100910;000000;20315;20800;20207;20624;9478
ROSN;D;100911;000000;20789;20797;20456;20676;3653
ROSN;D;100914;000000;20724;20949;20550;20550;5691
ROSN;D;100915;000000;20500;20678;20336;20415;4010
ROSN;D;100916;000000;20388;20456;19952;20142;6124
ROSN;D;100917;000000;20156;20880;20046;20689;14040
ROSN;D;100918;000000;20700;20769;20143;20164;6454
ROSN;D;100921;000000;20207;20484;20203;20484;6101
ROSN;D;100922;000000;20484;20568;20201;20230;6626
ROSN;D;100923;000000;20200;20371;20019;20151;7708
ROSN;D;100924;000000;20200;20349;19912;20086;7186
