<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RTS;D;200804;000000;123580;126200;123060;126070;369461
RTS;D;200805;000000;126100;126850;124500;126190;459108
RTS;D;200806;000000;126300;129830;126300;129140;534773
RTS;D;200807;000000;129200;129920;127770;128970;495057
RTS;D;200808;000000;128900;128900;126610;127190;454398
RTS;D;200811;000000;127240;128070;126790;127410;387069
RTS;D;200812;000000;127520;130240;127350;128460;541961
RTS;D;200813;000000;128560;130990;128230;130710;528788
RTS;D;200814;000000;130710;132700;130350;132480;514175
RTS;D;200815;000000;132590;132830;130580;132380;450824
RTS;D;200818;000000;132500;133670;130020;130910;542128
RTS;D;200819;000000;130900;132320;130210;131110;443546
RTS;D;200820;000000;131230;132170;130370;130700;420381
RTS;D;200821;000000;130700;130700;127300;128520;559838
RTS;D;200822;000000;128610;129090;125060;126300;676366
RTS;D;200825;000000;126350;128750;126350;128080;443493
RTS;D;200826;000000;128100;129000;125960;127050;508005
RTS;D;200827;000000;127000;127620;125560;127620;514363
RTS;D;200828;000000;127470;127960;125590;126330;601269
RTS;D;200829;000000;126400;127390;125340;126820;423871
RTS;D;200901;000000;126900;128640;125350;126120;535272
RTS;D;200902;000000;126200;128240;126200;127860;528018
RTS;D;200903;000000;127880;128200;122770;123380;732537
RTS;D;200904;000000;123360;124180;121570;122050;768804
RTS;D;200905;000000;122030;123730;121520;122900;687710
RTS;D;200908;000000;122780;123060;120970;122180;445639
RTS;D;200909;000000;122200;122590;118310;119390;755059
RTS;D;200910;000000;119230;120850;118440;120650;522305
RTS;D;200911;000000;118530;120000;117110;118850;22924
RTS;D;200912;000000;118880;120800;118880;120600;25889
RTS;D;200915;000000;120810;122200;120210;120940;49675
RTS;D;200916;000000;120970;123940;120970;123650;149780
RTS;D;200917;000000;123650;124330;122670;123200;256213
RTS;D;200918;000000;123170;123170;121440;122820;492179
RTS;D;200919;000000;122820;123500;120230;120640;492768
RTS;D;200922;000000;120610;120910;115840;117700;775934
RTS;D;200923;000000;117620;119570;116420;119570;668605
RTS;D;200924;000000;119500;120480;116750;116860;788327
RTS;D;200925;000000;116850;117650;115310;116700;900688
RTS;D;200926;000000;116820;117760;114230;115430;754733
RTS;D;200929;000000;115500;116130;114520;115520;523927
RTS;D;200930;000000;115400;115650;112080;114620;818536
RTS;D;201001;000000;114600;116800;113560;115990;672836
RTS;D;201002;000000;116130;117880;115270;115630;642279
RTS;D;201003;000000;115590;115590;112870;114600;696725
RTS;D;201006;000000;114640;115900;114040;115820;481956
RTS;D;201007;000000;115780;117250;115160;115290;642502
RTS;D;201008;000000;115330;116090;113550;114590;643499
RTS;D;201009;000000;114600;115650;114320;115450;510884
RTS;D;201010;000000;115470;116460;114510;115920;526339
RTS;D;201013;000000;116000;116840;115350;116150;435468
RTS;D;201014;000000;116050;116790;114760;115210;525155
RTS;D;201015;000000;115300;116240;114850;115440;501438
RTS;D;201016;000000;115400;115400;112580;113320;573193
RTS;D;201017;000000;113310;113730;111800;112860;587323
RTS;D;201020;000000;112880;113560;112120;112870;469096
RTS;D;201021;000000;112860;114540;112120;114110;551170
RTS;D;201022;000000;114110;114950;113360;114340;575175
RTS;D;201023;000000;114290;115480;113550;115110;552232
RTS;D;201024;000000;115090;116740;114600;116740;486666
RTS;D;201027;000000;116700;116700;113660;114400;564975
RTS;D;201028;000000;114430;114840;112190;112300;531685
RTS;D;201029;000000;112200;112200;106710;107010;1038836
RTS;D;201030;000000;107120;109040;105900;108200;986821
RTS;D;201031;000000;108190;108190;105170;106350;752660
RTS;D;201103;000000;106200;107530;103610;107340;655311
RTS;D;201104;000000;107450;111020;107450;110690;557700
RTS;D;201106;000000;110700;117310;110700;116600;723509
RTS;D;201107;000000;116600;117750;114840;117750;710302
RTS;D;201110;000000;117760;124050;117760;122460;1134365
RTS;D;201111;000000;122430;123950;121060;123200;793522
RTS;D;201112;000000;123350;125330;122470;122700;630004
RTS;D;201113;000000;122550;123910;121440;122050;696778
RTS;D;201114;000000;122020;124160;121630;123860;498245
RTS;D;201117;000000;123970;127540;123970;127420;613856
RTS;D;201118;000000;127410;127700;124460;125900;622961
RTS;D;201119;000000;125800;128040;125160;126620;552118
RTS;D;201120;000000;126600;126890;124890;126140;620196
RTS;D;201121;000000;126100;126630;125300;126190;378052
RTS;D;201124;000000;126200;128540;125050;126480;596589
RTS;D;201125;000000;126550;129810;126320;129720;612238
RTS;D;201126;000000;129710;130860;128370;130800;678420
RTS;D;201127;000000;130850;131430;129620;129890;435873
RTS;D;201128;000000;129990;130680;128850;130640;478420
RTS;D;201201;000000;130490;130490;126820;127800;640485
RTS;D;201202;000000;127880;131390;127880;130960;599195
RTS;D;201203;000000;130880;133570;130280;133450;585866
RTS;D;201204;000000;133450;133840;131900;133210;605425
RTS;D;201205;000000;133400;135720;133400;135340;523352
RTS;D;201208;000000;135320;136910;133870;135900;564318
RTS;D;201209;000000;135850;137350;135060;136000;607372
RTS;D;201210;000000;136070;137920;135000;135520;627307
RTS;D;201211;000000;135470;140000;135370;139860;35028
RTS;D;201212;000000;139740;141030;138920;140870;52561
RTS;D;201215;000000;140920;142600;138360;138500;68435
RTS;D;201216;000000;138600;140320;137910;139580;148491
RTS;D;201217;000000;139560;140260;137970;139630;264107
RTS;D;201218;000000;139750;142790;139750;141560;569604
RTS;D;201219;000000;141510;141510;138110;139640;580307
RTS;D;201222;000000;139520;139520;132180;134550;862005
RTS;D;201223;000000;134440;135540;132300;133700;615117
RTS;D;201224;000000;133750;137170;133370;135960;531042
RTS;D;201225;000000;136270;137760;135710;137520;347105
RTS;D;201226;000000;137660;138090;137270;137580;116855
RTS;D;201229;000000;137750;139590;137720;139180;303844
RTS;D;201230;000000;139220;140540;138480;138640;319863
RTS;D;201231;000000;138730;140390;138250;139140;310000
RTS;D;210105;000000;139240;143940;139240;140550;485807
RTS;D;210106;000000;140620;143870;138450;143610;596543
RTS;D;210107;000000;143710;144630;142320;143120;557391
RTS;D;210109;000000;143280;148280;143280;147550;573083
RTS;D;210112;000000;147500;148870;144830;146970;628742
RTS;D;210113;000000;147080;149700;146610;149160;607337
RTS;D;210114;000000;149200;150380;147190;147950;568492
RTS;D;210115;000000;148050;150850;146440;150500;687784
RTS;D;210116;000000;150500;150650;146810;147340;687676
RTS;D;210119;000000;147340;147950;145500;147660;440866
RTS;D;210120;000000;147690;149290;146370;147200;497798
RTS;D;210121;000000;147280;149460;147280;148900;457845
RTS;D;210122;000000;149000;149960;144910;145750;719347
RTS;D;210123;000000;145690;145690;141270;141900;697698
RTS;D;210126;000000;141990;144420;140120;142140;814930
RTS;D;210127;000000;142120;142720;140300;142440;604842
RTS;D;210128;000000;142450;143190;138250;138520;861294
RTS;D;210129;000000;138520;139440;136460;138950;797856
RTS;D;210130;000000;138810;138810;135270;135740;805974
RTS;D;210202;000000;135770;137920;135770;137230;582865
RTS;D;210203;000000;137260;140680;137260;137980;691191
RTS;D;210204;000000;138050;139960;137570;139230;664209
RTS;D;210205;000000;139200;141490;138830;141380;580031
RTS;D;210206;000000;141390;143740;141260;143710;548436
RTS;D;210209;000000;143740;146560;143740;146430;424455
RTS;D;210210;000000;146500;147630;145260;146490;512521
RTS;D;210211;000000;146530;147180;144300;144960;594815
RTS;D;210212;000000;145110;146250;144500;145430;498163
RTS;D;210213;000000;145390;147490;141940;147200;880315
RTS;D;210216;000000;147250;150470;147250;150470;456147
RTS;D;210217;000000;150470;151200;148150;149200;610479
RTS;D;210218;000000;149200;149950;145560;148000;784497
RTS;D;210219;000000;147950;148000;144200;144960;740087
RTS;D;210220;000000;144880;147660;143940;146870;673624
RTS;D;210221;000000;146800;146960;146160;146740;55015
RTS;D;210223;000000;146510;147550;143330;145700;561129
RTS;D;210225;000000;145700;146940;144360;145960;597618
RTS;D;210226;000000;146020;147130;142010;142170;858517
RTS;D;210227;000000;142030;143570;140080;141000;942259
RTS;D;210302;000000;141000;144830;141000;144110;607036
RTS;D;210303;000000;144020;146200;142470;145680;697582
RTS;D;210304;000000;145680;147890;144610;144890;674623
RTS;D;210305;000000;144700;147350;141090;141510;1017301
RTS;D;210306;000000;141300;146090;141260;146000;892635
RTS;D;210310;000000;145800;149050;144820;148860;634445
RTS;D;210311;000000;148830;149810;145310;146240;329826
RTS;D;210312;000000;146380;149460;146200;149450;25853
RTS;D;210313;000000;149310;150620;148030;150450;32451
RTS;D;210316;000000;150470;153890;150470;153800;72069
RTS;D;210317;000000;153710;153710;151350;152590;148737
RTS;D;210318;000000;152600;152960;146410;148610;469709
RTS;D;210319;000000;148600;149870;143500;144430;901573
RTS;D;210320;000000;144520;147100;143810;145950;755385
RTS;D;210323;000000;145750;145910;143740;144150;578957
