<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBRF;D;150804;000000;7267;7274;7134;7150;887949
SBRF;D;150805;000000;7158;7352;7152;7325;807183
SBRF;D;150806;000000;7332;7516;7324;7394;832836
SBRF;D;150807;000000;7398;7487;7295;7348;845051
SBRF;D;150808;000000;7354;7546;7345;7499;742460
SBRF;D;150811;000000;7500;7627;7430;7582;711791
SBRF;D;150812;000000;7582;7650;7380;7424;790226
SBRF;D;150813;000000;7418;7502;7331;7450;680793
SBRF;D;150814;000000;7454;7519;7375;7415;582919
SBRF;D;150815;000000;7418;7560;7393;7497;621092
SBRF;D;150818;000000;7498;7498;7341;7360;627751
SBRF;D;150819;000000;7350;7411;7264;7310;712189
SBRF;D;150820;000000;7320;7396;7160;7174;766781
SBRF;D;150821;000000;7171;7318;7145;7156;776303
SBRF;D;150822;000000;7157;7212;7004;7021;680386
SBRF;D;150825;000000;7021;7039;6724;6859;1528674
SBRF;D;150826;000000;6884;7149;6884;7005;886353
SBRF;D;150827;000000;7020;7246;6997;7228;854802
SBRF;D;150828;000000;7239;7495;7226;7454;929431
SBRF;D;150829;000000;7452;7551;7326;7498;965438
SBRF;D;150901;000000;7480;7596;7340;7536;827207
SBRF;D;150902;000000;7534;7534;7225;7270;893819
SBRF;D;150903;000000;7271;7458;7257;7414;870152
SBRF;D;150904;000000;7410;7482;7346;7380;705116
SBRF;D;150905;000000;7377;7457;7353;7383;530018
SBRF;D;150908;000000;7386;7430;7359;7420;370115
SBRF;D;150909;000000;7419;7567;7419;7516;701375
SBRF;D;150910;000000;7519;7598;7386;7410;662767
SBRF;D;150911;000000;7598;7690;7557;7620;18023
SBRF;D;150912;000000;7609;7680;7562;7621;33556
SBRF;D;150915;000000;7619;7744;7572;7692;223646
SBRF;D;150916;000000;7698;7741;7640;7741;390112
SBRF;D;150917;000000;7732;8000;7719;7975;722761
SBRF;D;150918;000000;7975;8005;7826;7891;688152
SBRF;D;150919;000000;7891;7923;7726;7781;719435
SBRF;D;150922;000000;7733;7906;7733;7806;500460
SBRF;D;150923;000000;7805;7811;7580;7653;724175
SBRF;D;150924;000000;7647;7692;7507;7557;769568
SBRF;D;150925;000000;7560;7618;7454;7579;757419
SBRF;D;150926;000000;7589;7724;7553;7659;565484
SBRF;D;150929;000000;7660;7758;7606;7625;595750
SBRF;D;150930;000000;7615;7766;7535;7710;686209
SBRF;D;151001;000000;7720;7859;7680;7744;634413
SBRF;D;151002;000000;7746;7830;7583;7632;666154
SBRF;D;151003;000000;7634;7672;7463;7643;686651
SBRF;D;151006;000000;7644;7820;7601;7793;606396
SBRF;D;151007;000000;7793;7946;7737;7903;551236
SBRF;D;151008;000000;7903;8153;7831;8115;868060
SBRF;D;151009;000000;8110;8578;7998;8540;1059479
SBRF;D;151010;000000;8555;8783;8489;8681;1057489
SBRF;D;151013;000000;8682;8822;8540;8636;828712
SBRF;D;151014;000000;8636;8732;8545;8574;704535
SBRF;D;151015;000000;8579;8875;8554;8805;786541
SBRF;D;151016;000000;8832;9066;8832;9035;826283
SBRF;D;151017;000000;9035;9151;8965;9068;840318
SBRF;D;151020;000000;9059;9059;8731;8869;724800
SBRF;D;151021;000000;8859;9075;8757;8933;853892
SBRF;D;151022;000000;8933;8973;8733;8787;748445
SBRF;D;151023;000000;8788;8901;8732;8830;715885
SBRF;D;151024;000000;8844;9228;8827;9220;995069
SBRF;D;151027;000000;9219;9400;9100;9345;1115260
SBRF;D;151028;000000;9334;9343;8982;9051;830012
SBRF;D;151029;000000;9043;9180;8855;9124;1033973
SBRF;D;151030;000000;9121;9223;8948;8972;892819
SBRF;D;151031;000000;8972;9231;8923;9155;726482
SBRF;D;151103;000000;9137;9495;9080;9486;1020623
SBRF;D;151104;000000;9490;9723;9443;9695;1000921
SBRF;D;151106;000000;9699;9767;9567;9652;869898
SBRF;D;151107;000000;9659;9687;9447;9531;844107
SBRF;D;151110;000000;9539;9578;9310;9364;744186
SBRF;D;151111;000000;9364;9560;9295;9519;813477
SBRF;D;151112;000000;9527;9577;9351;9436;907325
SBRF;D;151113;000000;9436;9579;9342;9458;814785
SBRF;D;151114;000000;9452;9520;9379;9422;663818
SBRF;D;151117;000000;9421;9812;9386;9783;865224
SBRF;D;151118;000000;9783;10468;9745;10345;1296221
SBRF;D;151119;000000;10347;10569;10250;10555;1143965
SBRF;D;151120;000000;10562;10930;10330;10474;1719538
SBRF;D;151121;000000;10474;10870;10387;10769;1152742
SBRF;D;151124;000000;10757;11096;10586;11018;1398377
SBRF;D;151125;000000;11019;11133;10565;10625;1371272
SBRF;D;151126;000000;10655;10998;10600;10975;1127773
SBRF;D;151127;000000;10971;10985;10610;10695;796586
SBRF;D;151128;000000;10686;10686;10410;10511;813209
SBRF;D;151201;000000;10501;10638;10255;10323;850745
SBRF;D;151202;000000;10335;10434;10098;10181;744286
SBRF;D;151203;000000;10177;10387;10151;10224;884234
SBRF;D;151204;000000;10225;10543;10188;10440;867388
SBRF;D;151205;000000;10438;10600;10259;10368;904155
SBRF;D;151208;000000;10374;10550;10261;10296;798170
SBRF;D;151209;000000;10296;10332;9708;9746;1107255
SBRF;D;151210;000000;9755;10126;9741;10019;1019269
SBRF;D;151211;000000;10271;10430;10216;10244;44134
SBRF;D;151212;000000;10240;10314;10000;10039;47508
SBRF;D;151215;000000;10030;10097;9881;10082;299679
SBRF;D;151216;000000;10089;10353;10082;10295;503547
SBRF;D;151217;000000;10295;10615;10261;10610;556362
SBRF;D;151218;000000;10590;10799;10514;10556;856591
SBRF;D;151219;000000;10569;10579;10107;10176;842023
SBRF;D;151222;000000;10170;10350;10011;10129;880862
SBRF;D;151223;000000;10131;10299;10131;10243;530888
SBRF;D;151224;000000;10247;10600;10247;10581;709661
SBRF;D;151225;000000;10595;10640;10268;10421;785065
SBRF;D;151226;000000;10417;10478;10313;10390;351521
SBRF;D;151229;000000;10383;10391;10170;10290;423113
SBRF;D;151230;000000;10292;10495;10200;10395;793712
SBRF;D;151231;000000;10396;10415;10260;10325;372491
SBRF;D;160105;000000;10323;10383;9919;9985;431976
SBRF;D;160106;000000;9999;10157;9901;10108;403270
SBRF;D;160107;000000;10106;10155;9837;9844;353050
SBRF;D;160112;000000;9842;9842;9175;9260;689266
SBRF;D;160113;000000;9260;9484;9057;9346;954086
SBRF;D;160114;000000;9346;9575;9223;9238;670660
SBRF;D;160115;000000;9250;9565;9217;9538;755527
SBRF;D;160116;000000;9531;9531;8773;8940;1072457
SBRF;D;160119;000000;8930;8993;8701;8801;873275
SBRF;D;160120;000000;8819;9135;8634;8744;996867
SBRF;D;160121;000000;8723;8730;8373;8700;1100615
SBRF;D;160122;000000;8689;8899;8476;8831;1042526
SBRF;D;160123;000000;8845;9378;8845;9344;1181258
SBRF;D;160126;000000;9350;9472;9100;9131;1054979
SBRF;D;160127;000000;9126;9423;9008;9389;995516
SBRF;D;160128;000000;9377;9838;9290;9653;1117891
SBRF;D;160129;000000;9662;9860;9558;9838;1369426
SBRF;D;160130;000000;9840;10061;9640;9802;1082011
SBRF;D;160202;000000;9797;9881;9654;9763;870644
SBRF;D;160203;000000;9760;9835;9500;9515;994608
SBRF;D;160204;000000;9512;9890;9491;9840;1093495
SBRF;D;160205;000000;9845;9950;9724;9780;917989
SBRF;D;160206;000000;9780;9920;9720;9725;688317
SBRF;D;160209;000000;9727;9898;9491;9615;917219
SBRF;D;160210;000000;9609;9671;9351;9400;1048034
SBRF;D;160211;000000;9400;9800;9400;9668;1005011
SBRF;D;160212;000000;9666;9705;9397;9640;985457
SBRF;D;160213;000000;9651;9685;9514;9642;635016
SBRF;D;160216;000000;9645;9737;9555;9625;647800
SBRF;D;160217;000000;9636;9850;9636;9821;919344
SBRF;D;160218;000000;9815;10106;9688;10081;836262
SBRF;D;160219;000000;10082;10368;10063;10226;947450
SBRF;D;160220;000000;10232;10447;10134;10259;993658
SBRF;D;160221;000000;10257;10340;10223;10288;212189
SBRF;D;160223;000000;10289;10522;10289;10346;638325
SBRF;D;160225;000000;10342;10393;10145;10377;742917
SBRF;D;160226;000000;10368;10610;10211;10565;892502
SBRF;D;160227;000000;10565;10777;10545;10600;825642
SBRF;D;160301;000000;10600;10807;10531;10698;672636
SBRF;D;160302;000000;10702;10967;10690;10946;858642
SBRF;D;160303;000000;10942;10967;10653;10742;723647
SBRF;D;160304;000000;10727;10829;10569;10763;755528
SBRF;D;160305;000000;10772;11029;10704;10968;623121
SBRF;D;160308;000000;10969;11040;10875;10960;541480
SBRF;D;160310;000000;10946;10949;10773;10903;609779
SBRF;D;160311;000000;10995;11117;10669;10890;34490
SBRF;D;160312;000000;10903;11089;10903;11008;45034
SBRF;D;160315;000000;11009;11300;10919;11199;164826
SBRF;D;160316;000000;11197;11203;10632;10761;470038
SBRF;D;160317;000000;10779;10921;10690;10869;493431
SBRF;D;160318;000000;10874;11100;10867;11050;680879
SBRF;D;160319;000000;11055;11357;10986;11200;947545
SBRF;D;160322;000000;11200;11395;11100;11310;852992
SBRF;D;160323;000000;11311;11508;11190;11214;846359
SBRF;D;160324;000000;11211;11308;10918;10938;781652
SBRF;D;160325;000000;10933;11015;10785;10962;752018
SBRF;D;160326;000000;10963;11080;10956;11038;371558
SBRF;D;160329;000000;11039;11094;10846;10938;515467
SBRF;D;160330;000000;10934;10950;10609;10895;725646
SBRF;D;160331;000000;10897;11072;10831;10944;660076
SBRF;D;160401;000000;10950;11130;10790;10989;814391
SBRF;D;160402;000000;10977;11011;10751;10975;715191
SBRF;D;160405;000000;10971;11036;10698;10750;762994
SBRF;D;160406;000000;10753;10839;10645;10824;765607
SBRF;D;160407;000000;10829;10939;10748;10926;613518
SBRF;D;160408;000000;10922;10986;10807;10858;536843
SBRF;D;160409;000000;10858;11385;10858;11284;877725
SBRF;D;160412;000000;11284;11836;11284;11698;1052020
SBRF;D;160413;000000;11703;11991;11622;11862;1007100
SBRF;D;160414;000000;11860;12044;11774;11974;765683
SBRF;D;160415;000000;11964;12000;11822;11929;665877
SBRF;D;160416;000000;11928;12033;11838;11970;630728
SBRF;D;160419;000000;11951;11983;11600;11881;881087
SBRF;D;160420;000000;11895;12377;11895;12140;1160599
SBRF;D;160421;000000;12140;12493;12012;12413;917727
SBRF;D;160422;000000;12425;12557;11842;11915;1200971
SBRF;D;160423;000000;11918;12160;11804;12118;929978
SBRF;D;160426;000000;12113;12166;11963;12004;564377
SBRF;D;160427;000000;11995;12064;11672;12035;842537
SBRF;D;160428;000000;12031;12247;11956;12187;739795
SBRF;D;160429;000000;12176;12496;11987;12296;767251
SBRF;D;160430;000000;12302;12572;12176;12359;778506
SBRF;D;160505;000000;12325;12325;11905;12024;567591
SBRF;D;160506;000000;12026;12210;11990;12040;564621
SBRF;D;160507;000000;12039;12060;11799;11983;665917
SBRF;D;160511;000000;11978;12096;11808;11958;649859
SBRF;D;160512;000000;11946;12374;11911;12212;895890
