<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SILV;D;200804;000000;24.35;24.47;24.03;24.38;206630
SILV;D;200805;000000;24.32;26.04;24.1;26;357421
SILV;D;200806;000000;26.01;27.16;26.01;27;524412
SILV;D;200807;000000;27.05;29.02;27.05;29;472996
SILV;D;200808;000000;28.93;28.93;27.4;28.19;710341
SILV;D;200811;000000;28.19;29.4;28.14;29.03;418810
SILV;D;200812;000000;28.98;28.98;24.92;24.92;1074217
SILV;D;200813;000000;24.92;26.3;24.92;25.48;902241
SILV;D;200814;000000;25.67;27.71;25.67;27.56;794521
SILV;D;200815;000000;27.51;27.51;25.76;26.45;606739
SILV;D;200818;000000;26.45;27.58;26.45;27.55;467480
SILV;D;200819;000000;27.56;28.48;27.16;27.65;675342
SILV;D;200820;000000;27.68;28.04;26.47;26.56;739500
SILV;D;200821;000000;26.57;27.54;26.57;27.33;546463
SILV;D;200822;000000;27.32;27.34;26.09;26.76;556589
SILV;D;200825;000000;26.74;27.28;26.32;26.52;488838
SILV;D;200826;000000;26.53;26.7;26.1;26.56;396142
SILV;D;200827;000000;26.55;27.54;26.16;27.53;529369
SILV;D;200828;000000;27.53;27.93;26.52;26.96;880935
SILV;D;200829;000000;27;27.73;27;27.55;405271
SILV;D;200901;000000;27.55;28.39;27.55;28.15;328645
SILV;D;200902;000000;28.16;28.95;27.6;28.12;477265
SILV;D;200903;000000;28.1;28.11;27.06;27.43;577784
SILV;D;200904;000000;27.4;27.41;26.47;26.48;582637
SILV;D;200905;000000;26.59;27.05;26.29;26.87;496087
SILV;D;200908;000000;26.85;27.14;26.67;27.07;112382
SILV;D;200909;000000;27.07;27.07;25.84;26.65;481032
SILV;D;200910;000000;26.64;27.28;26.4;27.02;241334
SILV;D;200911;000000;27.24;27.67;26.85;26.96;21200
SILV;D;200912;000000;26.95;27.19;26.84;27.04;7493
SILV;D;200915;000000;27;27.48;26.88;27.38;22658
SILV;D;200916;000000;27.4;27.82;27.18;27.32;54966
SILV;D;200917;000000;27.33;27.62;27.02;27.24;96638
SILV;D;200918;000000;27.21;27.26;26.45;27.18;278415
SILV;D;200919;000000;27.18;27.33;26.83;26.9;180297
SILV;D;200922;000000;26.9;26.9;24.2;24.83;606657
SILV;D;200923;000000;24.81;24.81;23.92;24.5;528378
SILV;D;200924;000000;24.45;24.45;22.63;22.79;700908
SILV;D;200925;000000;22.76;23.43;21.92;23.23;738784
SILV;D;200926;000000;23.25;23.31;22.48;22.95;540708
SILV;D;200929;000000;22.93;23.84;22.66;23.84;507400
SILV;D;200930;000000;23.79;24.43;23.6;24.24;433872
SILV;D;201001;000000;24.23;24.23;23.16;23.23;566726
SILV;D;201002;000000;23.3;24.25;23.3;23.79;436816
SILV;D;201003;000000;23.81;24.21;23.73;23.8;296200
SILV;D;201006;000000;23.83;24.55;23.69;24.46;283849
SILV;D;201007;000000;24.44;24.57;23.03;23.09;498729
SILV;D;201008;000000;23.18;24;23.18;23.86;445330
SILV;D;201009;000000;23.86;24.24;23.69;23.86;375205
SILV;D;201010;000000;23.91;25.22;23.86;25.2;425334
SILV;D;201013;000000;25.22;25.43;24.84;25.1;415816
SILV;D;201014;000000;25.1;25.12;23.99;24.14;592674
SILV;D;201015;000000;24.14;24.66;24.1;24.28;424470
SILV;D;201016;000000;24.28;24.36;23.61;24.3;589179
SILV;D;201017;000000;24.29;24.56;24;24;357020
SILV;D;201020;000000;24.02;25.01;24.02;24.37;469126
SILV;D;201021;000000;24.39;24.96;24.35;24.7;386624
SILV;D;201022;000000;24.76;25.3;24.76;25.09;454130
SILV;D;201023;000000;25.07;25.07;24.41;24.74;512013
SILV;D;201024;000000;24.72;24.9;24.42;24.6;321018
SILV;D;201027;000000;24.59;24.59;24.14;24.25;331861
SILV;D;201028;000000;24.35;24.59;24.2;24.41;298139
SILV;D;201029;000000;24.42;24.54;23.03;23.37;792503
SILV;D;201030;000000;23.37;23.6;22.59;23.28;772492
SILV;D;201031;000000;23.29;23.84;23.16;23.64;511064
SILV;D;201103;000000;23.67;24.19;23.67;24.09;411947
SILV;D;201104;000000;24.07;24.42;23.94;24.13;325023
SILV;D;201106;000000;24.15;25.4;24.15;25.38;679858
SILV;D;201107;000000;25.38;25.88;25.14;25.6;700182
SILV;D;201110;000000;25.63;25.96;23.61;24.22;1153640
SILV;D;201111;000000;24.25;24.51;23.91;24.17;452715
SILV;D;201112;000000;24.24;24.43;23.75;24.27;408379
SILV;D;201113;000000;24.25;24.42;24.04;24.19;225259
SILV;D;201114;000000;24.21;24.84;24.21;24.64;279740
SILV;D;201117;000000;24.64;25;24.2;24.75;474826
SILV;D;201118;000000;24.71;24.75;24.36;24.5;187544
SILV;D;201119;000000;24.45;24.73;24.2;24.3;250498
SILV;D;201120;000000;24.27;24.27;23.65;24.12;314678
SILV;D;201121;000000;24.15;24.55;24.03;24.25;208553
SILV;D;201124;000000;24.26;24.31;23.41;23.55;331445
SILV;D;201125;000000;23.54;23.54;22.94;23.18;340125
SILV;D;201126;000000;23.18;23.52;23.15;23.35;183977
SILV;D;201127;000000;23.37;23.5;23.22;23.31;94119
SILV;D;201128;000000;23.3;23.32;22.35;22.54;301941
SILV;D;201201;000000;22.5;22.71;22;22.64;348200
SILV;D;201202;000000;22.64;24.1;22.64;24.04;437322
SILV;D;201203;000000;24;24.37;23.65;24.04;535240
SILV;D;201204;000000;24.02;24.31;23.74;24.15;330803
SILV;D;201205;000000;24.15;24.45;23.94;24.15;327005
SILV;D;201208;000000;24.13;24.8;23.52;24.5;472983
SILV;D;201209;000000;24.52;24.9;24.42;24.63;254551
SILV;D;201210;000000;24.61;24.61;23.57;23.9;431800
SILV;D;201211;000000;24;24.46;23.88;24.15;26321
SILV;D;201212;000000;24.1;24.29;23.75;24.15;19798
SILV;D;201215;000000;24.11;24.37;23.81;23.95;38988
SILV;D;201216;000000;24.05;24.69;24.05;24.65;68786
SILV;D;201217;000000;24.65;25.49;24.65;25.48;246747
SILV;D;201218;000000;25.48;26.22;25.48;26.1;344317
SILV;D;201219;000000;26.06;26.26;25.79;25.86;244982
SILV;D;201222;000000;25.89;27.31;25.06;26.3;907074
SILV;D;201223;000000;26.22;26.22;25.14;25.21;523475
SILV;D;201224;000000;25.24;25.89;25.24;25.66;375693
SILV;D;201225;000000;25.66;25.99;25.46;25.87;252829
SILV;D;201226;000000;25.86;26.26;25.81;26.21;60986
SILV;D;201229;000000;26.23;26.83;26.23;26.37;303932
SILV;D;201230;000000;26.34;26.48;26;26.29;251956
SILV;D;201231;000000;26.29;26.62;26.21;26.59;166502
SILV;D;210105;000000;26.62;27.66;26.62;27.39;356411
SILV;D;210106;000000;27.39;27.76;27.28;27.64;258753
SILV;D;210107;000000;27.6;28.02;26.65;27.19;618429
SILV;D;210109;000000;27.17;27.17;24.55;25.42;896004
SILV;D;210112;000000;25.41;25.41;24.59;25.07;485484
SILV;D;210113;000000;25.08;25.71;25.08;25.68;411820
SILV;D;210114;000000;25.68;25.68;25.18;25.38;252768
SILV;D;210115;000000;25.37;25.94;25.11;25.61;321712
SILV;D;210116;000000;25.6;25.6;24.61;24.76;445463
SILV;D;210119;000000;24.76;25.11;24.76;25.06;211168
SILV;D;210120;000000;25.11;25.43;25.02;25.21;311949
SILV;D;210121;000000;25.25;25.9;25.04;25.88;364034
SILV;D;210122;000000;25.9;26.02;25.66;26;282319
SILV;D;210123;000000;25.98;25.98;25.02;25.51;400402
SILV;D;210126;000000;25.5;25.81;25.17;25.36;243179
SILV;D;210127;000000;25.34;25.67;25.19;25.5;200960
SILV;D;210128;000000;25.46;25.5;24.7;25.24;432247
SILV;D;210129;000000;25.24;27;24.88;26.56;1230297
SILV;D;210130;000000;26.51;27.69;26.28;26.88;1139319
SILV;D;210202;000000;26.89;30.16;26.89;29.1;1827886
SILV;D;210203;000000;29.03;29.03;26.31;26.61;1652850
SILV;D;210204;000000;26.63;27.17;26.46;26.81;606710
SILV;D;210205;000000;26.78;26.78;25.88;26.41;588362
SILV;D;210206;000000;26.4;27.04;26.32;26.91;510265
SILV;D;210209;000000;26.95;27.57;26.91;27.41;382730
SILV;D;210210;000000;27.39;27.79;27.04;27.22;425871
SILV;D;210211;000000;27.3;27.52;26.82;26.94;334334
SILV;D;210212;000000;26.94;27.28;26.82;26.98;288713
SILV;D;210213;000000;27;27.5;26.83;27.28;264064
SILV;D;210216;000000;27.29;27.72;27.29;27.68;189863
SILV;D;210217;000000;27.68;27.83;26.81;27.18;535829
SILV;D;210218;000000;27.23;27.4;26.83;27.4;361103
SILV;D;210219;000000;27.35;27.35;26.84;26.98;282831
SILV;D;210220;000000;26.97;27.61;26.81;27.18;399172
SILV;D;210221;000000;27.27;27.28;27.2;27.25;4007
SILV;D;210223;000000;27.27;28.25;27.24;28.25;320549
SILV;D;210225;000000;28.25;28.25;27.3;27.89;362513
SILV;D;210226;000000;27.87;28.17;27.33;27.48;466929
SILV;D;210227;000000;27.46;27.46;26.11;26.59;612503
SILV;D;210302;000000;26.59;27.07;26.39;26.42;310241
SILV;D;210303;000000;26.41;26.89;25.78;26.75;366698
SILV;D;210304;000000;26.71;26.8;25.83;26.24;401901
SILV;D;210305;000000;26.22;26.35;25.06;25.38;591124
SILV;D;210306;000000;25.37;25.44;24.83;25.2;403169
SILV;D;210310;000000;25.21;26.13;25.21;25.94;308276
SILV;D;210311;000000;25.93;26.28;25.55;26.24;76696
SILV;D;210312;000000;26.27;26.5;25.92;26.2;23106
SILV;D;210313;000000;26.2;26.2;25.46;26;51057
SILV;D;210316;000000;26;26.4;25.85;26.37;58080
SILV;D;210317;000000;26.37;26.44;25.93;26.06;61385
SILV;D;210318;000000;26.05;26.64;25.93;26.46;128868
SILV;D;210319;000000;26.48;26.76;25.93;26.12;319109
SILV;D;210320;000000;26.12;26.41;26.03;26.34;169557
SILV;D;210323;000000;26.28;26.28;25.48;25.82;248083
SILV;D;210324;000000;25.8;25.81;25.06;25.11;241474
SILV;D;210325;000000;25.14;25.44;25.11;25.19;128255
SILV;D;210326;000000;25.16;25.27;24.47;25.16;346388
SILV;D;210327;000000;25.2;25.35;24.95;25.1;160821
SILV;D;210330;000000;25.05;25.05;24.51;24.76;246764
SILV;D;210331;000000;24.71;24.78;23.92;24.03;274033
SILV;D;210401;000000;24.03;24.6;23.9;24.47;273205
SILV;D;210402;000000;24.47;25.03;24.19;25;271818
SILV;D;210403;000000;24.97;25.1;24.82;25;28084
SILV;D;210406;000000;25;25.16;24.7;24.92;200552
SILV;D;210407;000000;24.94;25.38;24.91;25.22;168616
SILV;D;210408;000000;25.19;25.34;24.9;25.19;156646
SILV;D;210409;000000;25.18;25.66;25.11;25.52;193937
SILV;D;210410;000000;25.52;25.52;25.02;25.34;213228
SILV;D;210413;000000;25.32;25.32;24.71;24.83;217665
SILV;D;210414;000000;24.85;25.53;24.76;25.38;186366
SILV;D;210415;000000;25.43;25.6;25.25;25.48;150837
