<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
Si;D;150804;000000;62640;64520;62640;64430;5354764
Si;D;150805;000000;64401;64402;63250;63870;4780589
Si;D;150806;000000;63870;64667;63332;64300;4331444
Si;D;150807;000000;64300;65409;64131;64790;4431788
Si;D;150808;000000;64782;65491;64219;64830;5444281
Si;D;150811;000000;64839;65450;63350;63510;4883523
Si;D;150812;000000;63511;65238;63511;64960;5096243
Si;D;150813;000000;64979;65975;64710;64850;4922198
Si;D;150814;000000;64851;65712;64342;65389;4561316
Si;D;150815;000000;65402;65700;64947;65636;3601133
Si;D;150818;000000;65639;66387;65639;66134;3595987
Si;D;150819;000000;66140;66543;66092;66453;3258257
Si;D;150820;000000;66479;67230;66027;67228;4703970
Si;D;150821;000000;67230;68575;67230;68449;5039582
Si;D;150822;000000;68481;69800;68327;69622;5088038
Si;D;150825;000000;69692;72200;69692;71453;9270757
Si;D;150826;000000;71480;71485;68581;69484;7737873
Si;D;150827;000000;69450;70456;68729;69312;7276487
Si;D;150828;000000;69309;69309;66134;66350;8515062
Si;D;150829;000000;66345;67716;65111;65697;7923979
Si;D;150901;000000;65737;67747;64005;64566;8312792
Si;D;150902;000000;64582;67150;64582;67150;7610153
Si;D;150903;000000;67150;68334;66513;67272;8183712
Si;D;150904;000000;67209;67917;66371;67452;6157828
Si;D;150905;000000;67464;68700;67179;68651;4918967
Si;D;150908;000000;68684;69475;68256;69246;3080177
Si;D;150909;000000;69240;69240;67782;68091;4706032
Si;D;150910;000000;68068;68678;67409;68635;4794682
Si;D;150911;000000;70600;70886;69406;69703;282417
Si;D;150912;000000;69777;70250;69464;69909;229898
Si;D;150915;000000;69821;70033;69043;69465;891237
Si;D;150916;000000;69479;69619;68375;68537;3581610
Si;D;150917;000000;68527;68527;66726;67132;4385331
Si;D;150918;000000;67132;68125;66647;67197;4540979
Si;D;150919;000000;67200;68480;67013;68325;4436236
Si;D;150922;000000;68199;69260;64750;67754;2624221
Si;D;150923;000000;67802;68543;67700;67753;3027780
Si;D;150924;000000;67768;68283;67160;68170;4370128
Si;D;150925;000000;68170;68490;67669;67780;3814350
Si;D;150926;000000;67716;67716;66986;67123;3077147
Si;D;150929;000000;67146;67799;66900;67666;2657103
Si;D;150930;000000;67661;67960;66937;67270;3004262
Si;D;151001;000000;67268;67686;66728;66952;3942783
Si;D;151002;000000;66945;67380;66242;67200;3826875
Si;D;151003;000000;67189;68198;67100;67460;3768769
Si;D;151006;000000;67460;67460;65915;66180;3673708
Si;D;151007;000000;66193;66656;64620;64656;4303817
Si;D;151008;000000;64620;64620;63100;63937;5426409
Si;D;151009;000000;63927;63986;62500;62583;4079449
Si;D;151010;000000;62610;63129;61957;63051;4827440
Si;D;151013;000000;63001;63779;62065;63480;3607642
Si;D;151014;000000;63460;64427;63185;64320;4963412
Si;D;151015;000000;64282;64512;63665;63889;3938725
Si;D;151016;000000;63864;63864;62455;62455;3597531
Si;D;151017;000000;62478;63171;62101;62277;4179876
Si;D;151020;000000;62287;63496;62143;63312;3341495
Si;D;151021;000000;63350;63432;62664;63120;3741210
Si;D;151022;000000;63120;64236;63106;64057;4792022
Si;D;151023;000000;64045;64045;63323;63574;3574964
Si;D;151024;000000;63557;63557;62550;63300;4102427
Si;D;151027;000000;63276;63992;63001;63975;3651301
Si;D;151028;000000;63994;66090;63994;65869;4602510
Si;D;151029;000000;65870;66448;64251;64800;6255134
Si;D;151030;000000;64825;65595;64564;65320;5515351
Si;D;151031;000000;65275;65503;64270;64746;4261046
Si;D;151103;000000;64741;65253;64389;64446;3824891
Si;D;151104;000000;64465;64868;63051;63347;4877056
Si;D;151106;000000;63348;64500;63348;64174;3725276
Si;D;151107;000000;64139;65548;63970;65292;4449199
Si;D;151110;000000;65280;65650;64810;65279;3950392
Si;D;151111;000000;65277;65418;64717;65235;3761814
Si;D;151112;000000;65233;66196;64998;66111;3537658
Si;D;151113;000000;66120;67333;65928;67260;5557601
Si;D;151114;000000;67290;67612;66831;67370;4549034
Si;D;151117;000000;67361;67399;65763;65797;5650431
Si;D;151118;000000;65832;66329;65113;65698;5105401
Si;D;151119;000000;65688;66045;65045;65254;4536611
Si;D;151120;000000;65254;65660;64865;65101;4074677
Si;D;151121;000000;65127;65514;64742;65212;3533498
Si;D;151124;000000;65221;66690;65221;66267;6420848
Si;D;151125;000000;66267;66900;65586;65860;4805818
Si;D;151126;000000;65773;66456;65623;65873;4020812
Si;D;151127;000000;65886;66400;65837;66234;2490029
Si;D;151128;000000;66251;66821;66235;66783;2573788
Si;D;151201;000000;66805;67216;66062;66781;3606000
Si;D;151202;000000;66764;67186;66316;66886;3342846
Si;D;151203;000000;66857;67770;66703;67763;4493883
Si;D;151204;000000;67754;68429;67620;67731;3988051
Si;D;151205;000000;67741;68521;67393;68321;4694952
Si;D;151208;000000;68330;69684;68330;69660;4026010
Si;D;151209;000000;69668;70085;69107;69553;5194542
Si;D;151210;000000;69536;71568;68830;69478;4486265
Si;D;151211;000000;71250;71250;70380;70970;189006
Si;D;151212;000000;70960;72377;70859;72240;309660
Si;D;151215;000000;72250;73130;71943;72478;1248727
Si;D;151216;000000;72478;72968;71462;71847;3787965
Si;D;151217;000000;71847;72498;71651;72241;4059886
Si;D;151218;000000;72247;73067;72098;73061;3595196
Si;D;151219;000000;73040;73265;72266;72689;4228860
Si;D;151222;000000;72741;73171;72741;72989;2391100
Si;D;151223;000000;72968;73038;72670;72941;1858907
Si;D;151224;000000;72941;72941;71230;71343;3789237
Si;D;151225;000000;71315;72366;70750;71716;3589997
Si;D;151226;000000;71720;72342;71490;72100;1348321
