<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
VTBR;D;100804;000000;42020;42020;41470;41725;1436
VTBR;D;100805;000000;41725;42780;41310;42100;4028
VTBR;D;100806;000000;42155;42700;41600;41900;2238
VTBR;D;100807;000000;42000;42225;41055;41435;2135
VTBR;D;100810;000000;41440;42185;41440;41895;1727
VTBR;D;100811;000000;41795;42000;40955;41850;2000
VTBR;D;100812;000000;41750;41750;40115;40275;3773
VTBR;D;100813;000000;40390;40875;39850;40440;2763
VTBR;D;100814;000000;40470;40985;40030;40160;1099
VTBR;D;100817;000000;40390;40660;39795;40300;1829
VTBR;D;100818;000000;40435;41170;40280;41000;1478
VTBR;D;100819;000000;40995;41000;40250;40700;1548
VTBR;D;100820;000000;40755;40925;40100;40185;1455
VTBR;D;100821;000000;40200;40465;39785;40350;1918
VTBR;D;100824;000000;40040;40605;39875;40100;1153
VTBR;D;100825;000000;40075;40075;39170;39355;3866
VTBR;D;100826;000000;39265;39540;38025;38745;2323
VTBR;D;100827;000000;38550;39525;38485;39265;2979
VTBR;D;100828;000000;39265;40110;38920;40110;938
VTBR;D;100831;000000;40015;40315;39700;39710;883
VTBR;D;100901;000000;39700;39950;39015;39600;2716
VTBR;D;100902;000000;39730;41485;39525;41450;5305
VTBR;D;100903;000000;41365;41625;41250;41550;3306
VTBR;D;100904;000000;41395;42600;41110;42300;3569
VTBR;D;100907;000000;42300;42560;42120;42455;961
VTBR;D;100908;000000;42435;42435;41650;41700;3062
VTBR;D;100909;000000;41650;42965;41560;42600;3134
VTBR;D;100910;000000;42580;44400;42430;44060;6108
VTBR;D;100911;000000;44035;44650;44000;44450;580
VTBR;D;100914;000000;44610;45770;44610;45165;3752
VTBR;D;100915;000000;45100;45645;44830;45000;6522
VTBR;D;100916;000000;45000;45160;44505;44995;3589
VTBR;D;100917;000000;44905;45395;44550;44655;1680
VTBR;D;100918;000000;44725;45250;43655;43940;3357
VTBR;D;100921;000000;43950;44640;43615;44635;2367
VTBR;D;100922;000000;44535;44920;44205;44265;2344
VTBR;D;100923;000000;44260;44795;43965;44595;2665
VTBR;D;100924;000000;44635;45050;43750;44050;4830
VTBR;D;100925;000000;44005;44195;43670;44045;1444
VTBR;D;100928;000000;44075;44380;42840;43000;4150
VTBR;D;100929;000000;43000;43170;42000;42375;3723
VTBR;D;100930;000000;42390;42950;42195;42550;1903
VTBR;D;101001;000000;42500;44050;42415;43825;3701
VTBR;D;101002;000000;43830;45040;43730;44840;3427
VTBR;D;101005;000000;44800;44995;44450;44645;2446
VTBR;D;101006;000000;44645;46690;44475;46535;3877
VTBR;D;101007;000000;46390;46570;45500;45635;2593
VTBR;D;101008;000000;45640;45785;45055;45055;1649
VTBR;D;101009;000000;45065;45900;44885;45725;2412
VTBR;D;101012;000000;45725;45965;45615;45715;1540
VTBR;D;101013;000000;45630;45980;45195;45845;2791
VTBR;D;101014;000000;45760;46245;45515;46015;2287
VTBR;D;101015;000000;46030;46400;45380;45450;1904
VTBR;D;101016;000000;45530;46220;45235;45975;2418
VTBR;D;101019;000000;45975;46450;45715;46440;2440
VTBR;D;101020;000000;46360;47750;46050;46190;6403
VTBR;D;101021;000000;46235;47200;46195;47185;6344
VTBR;D;101022;000000;47125;49870;46855;49250;5768
VTBR;D;101023;000000;49250;51430;49010;50950;8125
VTBR;D;101026;000000;50910;52850;50910;51895;10770
VTBR;D;101027;000000;51995;52630;51085;51500;7639
VTBR;D;101028;000000;51435;51435;50000;50355;3836
VTBR;D;101029;000000;50450;50935;49860;50200;3680
VTBR;D;101030;000000;50060;50830;49710;50725;3632
VTBR;D;101102;000000;50800;52315;50800;51900;5290
VTBR;D;101103;000000;51910;52250;51615;51985;2324
VTBR;D;101104;000000;52135;52370;51515;52175;2217
VTBR;D;101109;000000;52395;54450;52395;53260;4836
VTBR;D;101110;000000;53260;54300;53020;53450;5758
VTBR;D;101111;000000;53460;53895;52840;53355;4134
VTBR;D;101112;000000;53300;53950;52540;52650;5440
VTBR;D;101113;000000;52600;52900;51760;52305;5076
VTBR;D;101114;000000;52370;53070;52345;52950;1493
VTBR;D;101116;000000;52900;53250;52350;52490;6197
VTBR;D;101117;000000;52440;52490;50510;50610;5971
VTBR;D;101118;000000;50760;51755;50670;51280;6408
VTBR;D;101119;000000;51475;52685;51475;52475;4942
